acc,aug_type,condition,ece,group,intensity,kappa,layer,macro_f1,nll,seed,target_subject
0.3576388888888889,bad_physio,BadPhysio,0.08724310300830339,BadPhysio,0.75,0.14351851851851852,layer1,0.2929286005315802,1.365261435508728,22,1
0.3298611111111111,bad_artifact,BadArtifact,0.05688299683647024,BadArtifact,0.75,0.10648148148148147,layer1,0.23214864605593083,1.365566611289978,22,1
0.2604166666666667,none,NoAug,0.056906976685341865,NoAug,0.0,0.013888888888888914,layer1,0.19001148705096071,1.4471102952957153,20,2
0.2604166666666667,clean,CleanAug,0.05664518263397945,CleanAug,0.75,0.013888888888888914,layer1,0.19098105943660126,1.4451607465744019,20,2
0.2534722222222222,bad_content,BadContent,0.07985108133612408,BadContent,0.75,0.004629629629629613,layer1,0.16819541375872382,1.4616661071777344,20,2
0.25,bad_style,BadStyle,0.10944416322227982,BadStyle,0.75,0.0,layer1,0.14322781525687597,1.4711623191833496,20,2
0.2743055555555556,bad_physio,BadPhysio,0.048146410741739795,BadPhysio,0.75,0.03240740740740744,layer1,0.19530527634480346,1.4489479064941406,20,2
0.2673611111111111,bad_artifact,BadArtifact,0.04635848725835483,BadArtifact,0.75,0.02314814814814814,layer1,0.20632330261782067,1.4319300651550293,20,2
0.22916666666666666,none,NoAug,0.08976545738470224,NoAug,0.0,-0.02777777777777779,layer1,0.15929197112102153,1.425285816192627,21,2
0.2361111111111111,clean,CleanAug,0.08834326800165906,CleanAug,0.75,-0.018518518518518528,layer1,0.1479607662678529,1.4259600639343262,21,2
0.2673611111111111,bad_content,BadContent,0.07569679778276218,BadContent,0.75,0.02314814814814814,layer1,0.15071340970955102,1.438683032989502,21,2
0.2777777777777778,bad_style,BadStyle,0.02324500040979021,BadStyle,0.75,0.037037037037037056,layer1,0.23829429639462918,1.4094109535217285,21,2
0.2222222222222222,bad_physio,BadPhysio,0.09577961850704418,BadPhysio,0.75,-0.037037037037037056,layer1,0.14498581405499783,1.4204010963439941,21,2
0.21180555555555555,bad_artifact,BadArtifact,0.10785052180290222,BadArtifact,0.75,-0.05092592592592593,layer1,0.1302965599051008,1.42216157913208,21,2
0.2569444444444444,none,NoAug,0.06329231440193123,NoAug,0.0,0.009259259259259226,layer1,0.18008964451286813,1.4117531776428223,22,2
0.2604166666666667,clean,CleanAug,0.04342403676774767,CleanAug,0.75,0.013888888888888914,layer1,0.19637528502032317,1.410150170326233,22,2
0.2326388888888889,bad_content,BadContent,0.0748283962926103,BadContent,0.75,-0.02314814814814814,layer1,0.1585605942548439,1.4222602844238281,22,2
0.2534722222222222,bad_style,BadStyle,0.053649083607726626,BadStyle,0.75,0.004629629629629613,layer1,0.21399303655050783,1.4181092977523804,22,2
0.2465277777777778,bad_physio,BadPhysio,0.054645387973222465,BadPhysio,0.75,-0.004629629629629613,layer1,0.18825185077661483,1.4133399724960327,22,2
0.2777777777777778,bad_artifact,BadArtifact,0.028183955285284255,BadArtifact,0.75,0.037037037037037056,layer1,0.22577999052156675,1.4082340002059937,22,2
0.3611111111111111,none,NoAug,0.08561234569383992,NoAug,0.0,0.14814814814814814,layer1,0.3445597639462916,1.35336434841156,20,3
0.3645833333333333,clean,CleanAug,0.08706236630678177,CleanAug,0.75,0.15277777777777776,layer1,0.3343351759078049,1.35306978225708,20,3
0.2881944444444444,bad_content,BadContent,0.07924864948209788,BadContent,0.75,0.050925925925925895,layer1,0.1919623108909139,1.3667765855789185,20,3
0.3680555555555556,bad_style,BadStyle,0.09581246102849643,BadStyle,0.75,0.15740740740740744,layer1,0.3543278383919745,1.3544799089431763,20,3
0.3680555555555556,bad_physio,BadPhysio,0.09231290986968411,BadPhysio,0.75,0.15740740740740744,layer1,0.3537565369168917,1.3531237840652466,20,3
