acc,condition,ece,kappa,macro_f1,n,nll,target_subject
0.27199074074074076,CleanAug,0.02293826077409365,0.029320987654321007,0.200184162934237,3,1.3881882826487224,5
0.2696759259259259,BadContent,0.03141231993558231,0.02623456790123455,0.15623764502570495,3,1.4019166231155396,5
0.2465277777777778,BadStyle,0.037584956355944825,-0.004629629629629625,0.1642755810714344,3,1.3906123638153076,5
0.2662037037037037,BadPhysio,0.022902513112596893,0.02160493827160495,0.1929183536459985,3,1.3877873023351033,5
0.2476851851851852,BadArtifact,0.02560889950298049,-0.0030864197530864087,0.1753846099456985,3,1.3873459100723267,5
0.28009259259259256,NoAug,0.05464142336751576,0.04012345679012344,0.207580231869402,3,1.378833293914795,6
0.28703703703703703,CleanAug,0.04647669732501661,0.04938271604938271,0.22478951454108684,3,1.3781572580337524,6
0.24537037037037038,BadContent,0.11738356690060486,-0.006172839506172843,0.10409975618022178,3,1.423026204109192,6
0.28009259259259256,BadStyle,0.030845006341459574,0.04012345679012346,0.22967631298181393,3,1.3790177901585896,6
0.28703703703703703,BadPhysio,0.0541562051512301,0.04938271604938274,0.24023032556522098,3,1.3775254487991333,6
0.30092592592592593,BadArtifact,0.05473464756721148,0.06790123456790124,0.25606640740279113,3,1.3767484426498413,6
0.2974537037037037,NoAug,0.05385452834889293,0.0632716049382716,0.19123819773358597,3,1.3740067879358928,7
0.2974537037037037,CleanAug,0.04876844012350948,0.06327160493827161,0.19741510881852284,3,1.3723525603612263,7
0.26620370370370366,BadContent,0.07017514609766227,0.021604938271604937,0.14482552516708116,3,1.402759313583374,7
0.3287037037037037,BadStyle,0.0616747262991137,0.10493827160493825,0.28651968142224127,3,1.3732236226399739,7
0.2916666666666667,BadPhysio,0.05905313960586985,0.05555555555555555,0.18236311658565738,3,1.371112585067749,7
0.30439814814814814,BadArtifact,0.042350682033294874,0.07253086419753088,0.22381125801389437,3,1.3691680431365967,7
