artifact_score_mean,aug_type,beta_power,condition,inf_count,max_abs,mean_abs,mu_power,nan_count,seed,std,target_subject
3.6912412855025654,bad_physio,10.82204987983386,BadPhysio,0,43.220523834228516,4.9617767333984375,12.503659503765702,0,20,6.384830951690674,2
17.439751592145313,bad_artifact,11.339041199675325,BadArtifact,0,137.0284881591797,6.765010356903076,12.62461639433822,0,20,9.956071853637695,2
4.612404406787735,clean,10.684735660597248,CleanAug,0,39.56791687011719,4.730549335479736,12.508134332040793,0,21,6.18517541885376,2
3.539528327890675,bad_content,9.52504845458524,BadContent,0,32.30876922607422,3.446046829223633,11.282545724843306,0,21,4.424210548400879,2
3.837794121338161,bad_style,11.014664194292813,BadStyle,0,50.636085510253906,5.690518379211426,12.836335175806411,0,21,7.445192337036133,2
3.466858860082857,bad_physio,10.70064503749573,BadPhysio,0,39.091644287109375,4.805993556976318,12.52525540494616,0,21,6.231074810028076,2
17.48056911398494,bad_artifact,11.240761005588984,BadArtifact,0,142.4155731201172,6.5542168617248535,12.631836377151167,0,21,9.713382720947266,2
4.948893200692588,clean,10.638513150372539,CleanAug,0,44.02694320678711,4.599839687347412,12.391444421941078,0,22,5.967981815338135,2
3.5483062347987957,bad_content,9.47360590692393,BadContent,0,26.07223129272461,3.365670919418335,11.131346990619946,0,22,4.294831275939941,2
3.894269969405629,bad_style,10.958316302821565,BadStyle,0,62.45571517944336,5.52820348739624,12.709331741588082,0,22,7.204335689544678,2
3.608634640196751,bad_physio,10.657620699554577,BadPhysio,0,43.220523834228516,4.685874938964844,12.41194503106011,0,22,6.019983768463135,2
17.33374351954889,bad_artifact,11.195049558594214,BadArtifact,0,128.79466247558594,6.3649396896362305,12.520903283838834,0,22,9.376408576965332,2
4.488249051010257,clean,11.515570263562534,CleanAug,0,48.56059265136719,6.226047039031982,12.805461975883574,0,20,7.99850606918335,3
3.969225230499804,bad_content,10.33979627456386,BadContent,0,33.692203521728516,4.396152496337891,11.585812103397968,0,20,5.586899757385254,3
3.851303332396488,bad_style,11.426449141489636,BadStyle,0,74.5853042602539,6.048675060272217,12.681059256306192,0,20,7.871105194091797,3
3.4485808418185684,bad_physio,11.528443148734286,BadPhysio,0,48.33403396606445,6.302727222442627,12.82077787688772,0,20,8.044646263122559,3
16.715143780475547,bad_artifact,11.952446631079797,BadArtifact,0,174.6992950439453,8.617583274841309,12.963858966406997,0,20,12.535869598388672,3
4.938370476966045,clean,11.641900435756995,CleanAug,0,53.99602127075195,6.441507816314697,12.894598489359378,0,21,8.331701278686523,3
3.5442191536590837,bad_content,10.49064455009842,BadContent,0,37.19101333618164,4.524527072906494,11.64469995974074,0,21,5.742145538330078,3
3.780011889603727,bad_style,11.531450602589507,BadStyle,0,85.9914321899414,6.225689888000488,12.760224317913899,0,21,8.133224487304688,3
3.47911740041386,bad_physio,11.65910463830006,BadPhysio,0,53.554954528808594,6.55295467376709,12.914050738596393,0,21,8.399699211120605,3
16.398179499221367,bad_artifact,12.064255411197646,BadArtifact,0,210.08566284179688,8.953978538513184,13.053272978456903,0,21,13.083117485046387,3
4.695214108772249,clean,11.695648251316852,CleanAug,0,44.3035774230957,6.385221481323242,12.729348071756963,0,22,8.173321723937988,3
3.9301581724832424,bad_content,10.523831533709988,BadContent,0,35.019126892089844,4.513221263885498,11.470297856556895,0,22,5.714718341827393,3
3.7736185483761786,bad_style,11.663413974388616,BadStyle,0,63.40238952636719,6.418944358825684,12.680855881086941,0,22,8.365716934204102,3
3.5937603967460756,bad_physio,11.7078737591652,BadPhysio,0,43.963218688964844,6.460780143737793,12.741999317044693,0,22,8.218533515930176,3
16.549466988140235,bad_artifact,12.084047061680979,BadArtifact,0,178.9185333251953,8.786014556884766,12.898673220857507,0,22,12.795709609985352,3
5.5269341042491105,clean,10.917764512913484,CleanAug,0,51.569122314453125,4.464291572570801,11.967133556047383,0,20,5.799170017242432,4
4.1635944605150925,bad_content,9.766443211679896,BadContent,0,32.49835205078125,3.3645265102386475,10.72305886256003,0,20,4.304090976715088,4
4.346738176194854,bad_style,11.340230311991606,BadStyle,0,63.66841125488281,5.685428619384766,12.372845073088833,0,20,7.476922512054443,4
4.31900377099095,bad_physio,10.936554155225172,BadPhysio,0,50.82659912109375,4.544743537902832,11.985987622121943,0,20,5.848634719848633,4
17.160826618081114,bad_artifact,11.350455286477255,BadArtifact,0,124.57486724853516,6.219231128692627,12.149005551287441,0,20,9.111824035644531,4
4.666390921487955,clean,10.948173466536883,CleanAug,0,30.690637588500977,4.5020432472229,12.016730233824852,0,21,5.773313999176025,4
3.8440574821180378,bad_content,9.789289578475966,BadContent,0,23.990564346313477,3.3258254528045654,10.822697818821574,0,21,4.204235076904297,4
3.7070171957113796,bad_style,11.394956386693325,BadStyle,0,50.74322509765625,5.769623756408691,12.452169667964364,0,21,7.462442398071289,4
3.6679901964621706,bad_physio,10.962081560762607,BadPhysio,0,30.295839309692383,4.563255786895752,12.030753319595842,0,21,5.809201240539551,4
16.919245518424706,bad_artifact,11.357541567567528,BadArtifact,0,138.18617248535156,6.231596946716309,12.190916496286789,0,21,9.06064224243164,4
4.89054860367144,clean,10.892607733068035,CleanAug,0,32.74229431152344,4.449433326721191,11.976860994865174,0,22,5.697727203369141,4
3.9915057834379577,bad_content,9.731351672591275,BadContent,0,25.399887084960938,3.3126657009124756,10.744667111319126,0,22,4.1808905601501465,4
3.9030754936590757,bad_style,11.358708260178082,BadStyle,0,69.8903579711914,5.807151794433594,12.433496075135844,0,22,7.611534595489502,4
3.962004383960411,bad_physio,10.906248190579017,BadPhysio,0,32.089664459228516,4.509115219116211,11.991387924392287,0,22,5.732937335968018,4
16.886563420170326,bad_artifact,11.316182228381424,BadArtifact,0,117.68917083740234,6.142582416534424,12.154716485841892,0,22,8.939420700073242,4
5.318728084396676,clean,10.617357956994786,CleanAug,0,32.33152770996094,3.99613356590271,11.493888490650308,0,20,5.219046592712402,5
3.850132713708624,bad_content,9.453045212387476,BadContent,0,26.119644165039062,3.2172000408172607,10.244718305285371,0,20,4.103536605834961,5
4.386307520259926,bad_style,11.286962785740052,BadStyle,0,76.82677459716797,5.7181291580200195,12.163110096933213,0,20,7.578664302825928,5
4.202051923255296,bad_physio,10.633487588887993,BadPhysio,0,32.12629318237305,4.059045791625977,11.512094149878658,0,20,5.256864547729492,5
17.027576818006416,bad_artifact,11.07205223156783,BadArtifact,0,115.20237731933594,5.532771587371826,11.716147235945801,0,20,8.179291725158691,5
5.483388862977641,clean,10.601403986780621,CleanAug,0,33.50895690917969,4.0031208992004395,11.510111026502752,0,21,5.229456901550293,5
4.458180377539655,bad_content,9.451953118379764,BadContent,0,29.654905319213867,3.226388692855835,10.292437375149591,0,21,4.1364240646362305,5
4.549033799263844,bad_style,11.284861776005787,BadStyle,0,75.31616973876953,5.792437553405762,12.187437820980936,0,21,7.72955322265625,5
