brier,ece,group,mean_confidence,nll,seed,target_subject,temperature
0.7640695825559661,0.05196066035164727,SWAR_BrierMix_lam010,0.29848846793174744,1.4177199602127075,22,2,1.0
0.7634340376301002,0.04126059677865769,ArtifactReject_raw,0.30514946579933167,1.4154448509216309,22,2,1.0
0.7334752763273287,0.09260273559225927,NaiveAug,0.2823972702026367,1.3540818691253662,20,3,1.0
0.7352005955781946,0.03428305975264972,SoftWeightArtifactReject_raw,0.2851613759994507,1.3564443588256836,20,3,1.0
0.742524421542157,0.0646067029900021,SWAR_TempScale_SourceVal,0.265254408121109,1.3713054656982422,20,3,2.3
0.7344125756185211,0.04544382883856693,SWAR_LabelSmoothing_eps005,0.2844172716140747,1.3549211025238037,20,3,1.0
0.7341445980762601,0.06550501183503202,SWAR_LabelSmoothing_eps010,0.2817172110080719,1.3546712398529053,20,3,1.0
0.7348312847130862,0.04839758988883761,SWAR_BrierMix_lam005,0.28493574261665344,1.355773687362671,20,3,1.0
0.7343333536087171,0.046275664534833706,SWAR_BrierMix_lam010,0.28358542919158936,1.3547722101211548,20,3,1.0
0.7339578316948638,0.06366436183452609,ArtifactReject_raw,0.28008565306663513,1.3545461893081665,20,3,1.0
0.7284368386370277,0.09785305781082976,NaiveAug,0.2904167175292969,1.3440163135528564,21,3,1.0
0.7259314423420523,0.11565815046843556,SoftWeightArtifactReject_raw,0.28297874331474304,1.3397716283798218,21,3,1.0
0.740853116524424,0.12240195884886718,SWAR_TempScale_SourceVal,0.26164567470550537,1.368238925933838,21,3,2.8000000000000003
0.7261411993882901,0.09417540176461141,SWAR_LabelSmoothing_eps005,0.2836303114891052,1.3402857780456543,21,3,1.0
0.7264070331916348,0.12797548001011214,SWAR_LabelSmoothing_eps010,0.2817467451095581,1.3405424356460571,21,3,1.0
0.7264682441005461,0.12325181739611758,SWAR_BrierMix_lam005,0.2823147475719452,1.3406020402908325,21,3,1.0
0.7262558795237377,0.09799908298171227,SWAR_BrierMix_lam010,0.2832798361778259,1.3402276039123535,21,3,1.0
0.7273297543414747,0.09096288091192645,ArtifactReject_raw,0.2833460569381714,1.3422778844833374,21,3,1.0
0.7310112323444891,0.06374563918345504,NaiveAug,0.3042081296443939,1.3526588678359985,22,3,1.0
0.7296027606540101,0.048018431290984126,SoftWeightArtifactReject_raw,0.2922593653202057,1.3483144044876099,22,3,1.0
0.7424543571127672,0.06977418396208024,SWAR_TempScale_SourceVal,0.2635591924190521,1.3715946674346924,22,3,3.0500000000000003
0.7297293024290549,0.07565131566176811,SWAR_LabelSmoothing_eps005,0.2926676869392395,1.3486371040344238,22,3,1.0
0.7296152023562656,0.04927032058023745,SWAR_LabelSmoothing_eps010,0.29100745916366577,1.3484153747558594,22,3,1.0
0.7296671239877909,0.06281066168513563,SWAR_BrierMix_lam005,0.29445335268974304,1.3487305641174316,22,3,1.0
0.7300207385370667,0.05796538055357006,SWAR_BrierMix_lam010,0.29331111907958984,1.349181890487671,22,3,1.0
