acc,artifact_reject_percentile,brier,ece,group,kappa,macro_f1,mean_confidence,n_train,nll,score_variant,seed,source_val_n,subject_wise_std,target_subject,temperature,w_min,worst_subject_acc
0.2638888888888889,10.0,0.7704107560580274,0.0676700035110116,SWAR_BrierMix_lam010,0.018518518518518528,0.17539682539682538,0.33155885338783264,182,1.4325885772705078,artifact_gate_content_rank,21,452,0.05355602853255061,2,1.0,0.2,0.2523148148148148
0.2569444444444444,10.0,0.7754139943286085,0.0880138333886862,ArtifactReject_raw,0.009259259259259226,0.1555782952509386,0.34495827555656433,182,1.4412504434585571,artifact_gate_content_rank,21,452,0.053001015935766484,2,1.0,0.2,0.25810185185185186
0.2604166666666667,10.0,0.7650186812438784,0.07222823695176177,NaiveAug,0.013888888888888914,0.15207564480547595,0.32074764370918274,200,1.4166120290756226,artifact_gate_content_rank,22,452,0.05436241396039374,2,1.0,0.2,0.2523148148148148
0.2604166666666667,10.0,0.7617185403233591,0.03058899939060212,SoftWeightArtifactReject_raw,0.013888888888888914,0.21533014685731788,0.2910056710243225,182,1.4128111600875854,artifact_gate_content_rank,22,452,0.050692871979754625,2,1.0,0.2,0.25115740740740744
0.24305555555555555,10.0,0.7814900166395343,0.08525050907499258,SWAR_TempScale_SourceVal,-0.009259259259259264,0.19853960119502262,0.32830604910850525,182,1.4670816659927368,artifact_gate_content_rank,22,452,0.05381756226089645,2,0.5,0.2,0.2488425925925926
0.2465277777777778,10.0,0.7636374664570028,0.04937576016204226,SWAR_LabelSmoothing_eps005,-0.004629629629629613,0.20627104377104377,0.2959035336971283,182,1.4168415069580078,artifact_gate_content_rank,22,452,0.05222681932196023,2,1.0,0.2,0.2488425925925926
0.2465277777777778,10.0,0.7620560077729901,0.0459179168360101,SWAR_LabelSmoothing_eps010,-0.004629629629629613,0.19728934849525187,0.29244568943977356,182,1.4133652448654175,artifact_gate_content_rank,22,452,0.05978569138367008,2,1.0,0.2,0.24537037037037038
0.24305555555555555,10.0,0.763147877473543,0.05124130927854113,SWAR_BrierMix_lam005,-0.009259259259259264,0.20429521179215182,0.29429686069488525,182,1.4155675172805786,artifact_gate_content_rank,22,452,0.054004384088899224,2,1.0,0.2,0.2465277777777778
0.2465277777777778,10.0,0.7640695825559661,0.05196066035164727,SWAR_BrierMix_lam010,-0.004629629629629613,0.19495645808297082,0.29848846793174744,182,1.4177199602127075,artifact_gate_content_rank,22,452,0.05355602853255061,2,1.0,0.2,0.2523148148148148
0.2638888888888889,10.0,0.7634340376301002,0.04126059677865769,ArtifactReject_raw,0.018518518518518528,0.17408547398287483,0.30514946579933167,182,1.4154448509216309,artifact_gate_content_rank,22,452,0.053001015935766484,2,1.0,0.2,0.25810185185185186
0.375,10.0,0.7334752763273287,0.09260273559225927,NaiveAug,0.16666666666666666,0.312029148999624,0.2823972702026367,200,1.3540818691253662,artifact_gate_content_rank,20,452,0.05436241396039374,3,1.0,0.2,0.2523148148148148
0.3194444444444444,10.0,0.7352005955781946,0.03428305975264972,SoftWeightArtifactReject_raw,0.09259259259259256,0.2721941364611031,0.2851613759994507,182,1.3564443588256836,artifact_gate_content_rank,20,452,0.050692871979754625,3,1.0,0.2,0.25115740740740744
0.3298611111111111,10.0,0.742524421542157,0.0646067029900021,SWAR_TempScale_SourceVal,0.10648148148148147,0.27960638565067497,0.265254408121109,182,1.3713054656982422,artifact_gate_content_rank,20,452,0.05381756226089645,3,2.3,0.2,0.2488425925925926
0.3298611111111111,10.0,0.7344125756185211,0.04544382883856693,SWAR_LabelSmoothing_eps005,0.10648148148148147,0.288874116668683,0.2844172716140747,182,1.3549211025238037,artifact_gate_content_rank,20,452,0.05222681932196023,3,1.0,0.2,0.2488425925925926
0.3472222222222222,10.0,0.7341445980762601,0.06550501183503202,SWAR_LabelSmoothing_eps010,0.12962962962962962,0.31964991530208925,0.2817172110080719,182,1.3546712398529053,artifact_gate_content_rank,20,452,0.05978569138367008,3,1.0,0.2,0.24537037037037038
0.3333333333333333,10.0,0.7348312847130862,0.04839758988883761,SWAR_BrierMix_lam005,0.11111111111111109,0.2832454269624687,0.28493574261665344,182,1.355773687362671,artifact_gate_content_rank,20,452,0.054004384088899224,3,1.0,0.2,0.2465277777777778
0.3298611111111111,10.0,0.7343333536087171,0.046275664534833706,SWAR_BrierMix_lam010,0.10648148148148147,0.2887372755861616,0.28358542919158936,182,1.3547722101211548,artifact_gate_content_rank,20,452,0.05355602853255061,3,1.0,0.2,0.2523148148148148
0.34375,10.0,0.7339578316948638,0.06366436183452609,ArtifactReject_raw,0.125,0.31138285127038773,0.28008565306663513,182,1.3545461893081665,artifact_gate_content_rank,20,452,0.053001015935766484,3,1.0,0.2,0.25810185185185186
0.3854166666666667,10.0,0.7284368386370277,0.09785305781082976,NaiveAug,0.18055555555555558,0.3440700264211541,0.2904167175292969,200,1.3440163135528564,artifact_gate_content_rank,21,452,0.05436241396039374,3,1.0,0.2,0.2523148148148148
0.3958333333333333,10.0,0.7259314423420523,0.11565815046843556,SoftWeightArtifactReject_raw,0.19444444444444442,0.35479834788601455,0.28297874331474304,182,1.3397716283798218,artifact_gate_content_rank,21,452,0.050692871979754625,3,1.0,0.2,0.25115740740740744
0.3819444444444444,10.0,0.740853116524424,0.12240195884886718,SWAR_TempScale_SourceVal,0.1759259259259259,0.3403018278018278,0.26164567470550537,182,1.368238925933838,artifact_gate_content_rank,21,452,0.05381756226089645,3,2.8000000000000003,0.2,0.2488425925925926
0.375,10.0,0.7261411993882901,0.09417540176461141,SWAR_LabelSmoothing_eps005,0.16666666666666666,0.324746446523815,0.2836303114891052,182,1.3402857780456543,artifact_gate_content_rank,21,452,0.05222681932196023,3,1.0,0.2,0.2488425925925926
0.4097222222222222,10.0,0.7264070331916348,0.12797548001011214,SWAR_LabelSmoothing_eps010,0.21296296296296294,0.3705781361112327,0.2817467451095581,182,1.3405424356460571,artifact_gate_content_rank,21,452,0.05978569138367008,3,1.0,0.2,0.24537037037037038
0.4027777777777778,10.0,0.7264682441005461,0.12325181739611758,SWAR_BrierMix_lam005,0.20370370370370372,0.375835460108787,0.2823147475719452,182,1.3406020402908325,artifact_gate_content_rank,21,452,0.054004384088899224,3,1.0,0.2,0.2465277777777778
0.3784722222222222,10.0,0.7262558795237377,0.09799908298171227,SWAR_BrierMix_lam010,0.17129629629629628,0.3380106877506323,0.2832798361778259,182,1.3402276039123535,artifact_gate_content_rank,21,452,0.05355602853255061,3,1.0,0.2,0.2523148148148148
0.3715277777777778,10.0,0.7273297543414747,0.09096288091192645,ArtifactReject_raw,0.16203703703703706,0.34094211238975575,0.2833460569381714,182,1.3422778844833374,artifact_gate_content_rank,21,452,0.053001015935766484,3,1.0,0.2,0.25810185185185186
0.3333333333333333,10.0,0.7310112323444891,0.06374563918345504,NaiveAug,0.11111111111111109,0.23952300514800512,0.3042081296443939,200,1.3526588678359985,artifact_gate_content_rank,22,452,0.05436241396039374,3,1.0,0.2,0.2523148148148148
0.3402777777777778,10.0,0.7296027606540101,0.048018431290984126,SoftWeightArtifactReject_raw,0.12037037037037039,0.2787509809806002,0.2922593653202057,182,1.3483144044876099,artifact_gate_content_rank,22,452,0.050692871979754625,3,1.0,0.2,0.25115740740740744
0.3333333333333333,10.0,0.7424543571127672,0.06977418396208024,SWAR_TempScale_SourceVal,0.11111111111111109,0.26861790170613703,0.2635591924190521,182,1.3715946674346924,artifact_gate_content_rank,22,452,0.05381756226089645,3,3.0500000000000003,0.2,0.2488425925925926
0.3125,10.0,0.7297293024290549,0.07565131566176811,SWAR_LabelSmoothing_eps005,0.08333333333333333,0.24406431723210892,0.2926676869392395,182,1.3486371040344238,artifact_gate_content_rank,22,452,0.05222681932196023,3,1.0,0.2,0.2488425925925926
0.3402777777777778,10.0,0.7296152023562656,0.04927032058023745,SWAR_LabelSmoothing_eps010,0.12037037037037039,0.2741834533467019,0.29100745916366577,182,1.3484153747558594,artifact_gate_content_rank,22,452,0.05978569138367008,3,1.0,0.2,0.24537037037037038
0.3229166666666667,10.0,0.7296671239877909,0.06281066168513563,SWAR_BrierMix_lam005,0.09722222222222225,0.2562577892922539,0.29445335268974304,182,1.3487305641174316,artifact_gate_content_rank,22,452,0.054004384088899224,3,1.0,0.2,0.2465277777777778
0.3263888888888889,10.0,0.7300207385370667,0.05796538055357006,SWAR_BrierMix_lam010,0.10185185185185186,0.26082842218994234,0.29331111907958984,182,1.349181890487671,artifact_gate_content_rank,22,452,0.05355602853255061,3,1.0,0.2,0.2523148148148148
0.3541666666666667,10.0,0.7303151292728065,0.06080921501335169,ArtifactReject_raw,0.13888888888888892,0.27440104408532245,0.2933574318885803,182,1.3498320579528809,artifact_gate_content_rank,22,452,0.053001015935766484,3,1.0,0.2,0.25810185185185186
0.3854166666666667,10.0,0.7365961099794853,0.1142718262142605,NaiveAug,0.18055555555555558,0.31006813224517804,0.2711448073387146,200,1.3595526218414307,artifact_gate_content_rank,20,460,0.05436241396039374,4,1.0,0.2,0.2523148148148148
0.3993055555555556,10.0,0.7354327109542768,0.12858064058754176,SoftWeightArtifactReject_raw,0.1990740740740741,0.30733817301875377,0.27072492241859436,182,1.357036828994751,artifact_gate_content_rank,20,460,0.050692871979754625,4,1.0,0.2,0.25115740740740744
0.3819444444444444,10.0,0.7392144719486433,0.11712053956256972,SWAR_TempScale_SourceVal,0.1759259259259259,0.2952868172990384,0.26482391357421875,182,1.36466646194458,artifact_gate_content_rank,20,460,0.05381756226089645,4,1.35,0.2,0.2488425925925926
0.3888888888888889,10.0,0.7357354940893972,0.11958262872778705,SWAR_LabelSmoothing_eps005,0.1851851851851852,0.31342948717948715,0.2693062424659729,182,1.3576626777648926,artifact_gate_content_rank,20,460,0.05222681932196023,4,1.0,0.2,0.2488425925925926
0.3993055555555556,10.0,0.7356982772055013,0.13037537866168553,SWAR_LabelSmoothing_eps010,0.1990740740740741,0.3382395419672981,0.26893022656440735,182,1.3576006889343262,artifact_gate_content_rank,20,460,0.05978569138367008,4,1.0,0.2,0.24537037037037038
0.3854166666666667,10.0,0.7359588781516846,0.11552978307008743,SWAR_BrierMix_lam005,0.18055555555555558,0.30378510378510376,0.26988685131073,182,1.3580125570297241,artifact_gate_content_rank,20,460,0.054004384088899224,4,1.0,0.2,0.2465277777777778
0.3854166666666667,10.0,0.7358672696830696,0.11557243826488653,SWAR_BrierMix_lam010,0.18055555555555558,0.3036889327900564,0.2698442041873932,182,1.357861876487732,artifact_gate_content_rank,20,460,0.05355602853255061,4,1.0,0.2,0.2523148148148148
0.4166666666666667,10.0,0.7373648715482746,0.1510155592113733,ArtifactReject_raw,0.22222222222222224,0.4111549730167529,0.2656511068344116,182,1.360789179801941,artifact_gate_content_rank,20,460,0.053001015935766484,4,1.0,0.2,0.25810185185185186
0.2708333333333333,10.0,0.7352525989682231,0.019039231042067204,NaiveAug,0.027777777777777752,0.1827201316584532,0.2785908877849579,200,1.3560385704040527,artifact_gate_content_rank,21,460,0.05436241396039374,4,1.0,0.2,0.2523148148148148
0.3645833333333333,10.0,0.7343332732779622,0.09552109489838281,SoftWeightArtifactReject_raw,0.15277777777777776,0.30149153404749307,0.26906225085258484,182,1.3548846244812012,artifact_gate_content_rank,21,460,0.050692871979754625,4,1.0,0.2,0.25115740740740744
0.3576388888888889,10.0,0.7417841888300772,0.09801458732949365,SWAR_TempScale_SourceVal,0.14351851851851852,0.29079446975788437,0.25962430238723755,182,1.3698632717132568,artifact_gate_content_rank,21,460,0.05381756226089645,4,1.9500000000000002,0.2,0.2488425925925926
0.3645833333333333,10.0,0.7344035152365509,0.09590589565535387,SWAR_LabelSmoothing_eps005,0.15277777777777776,0.3007678410117434,0.2686774432659149,182,1.3550010919570923,artifact_gate_content_rank,21,460,0.05222681932196023,4,1.0,0.2,0.2488425925925926
0.3680555555555556,10.0,0.7347611242816267,0.09993375485969912,SWAR_LabelSmoothing_eps010,0.15740740740740744,0.30900721429742584,0.2681218087673187,182,1.3557240962982178,artifact_gate_content_rank,21,460,0.05978569138367008,4,1.0,0.2,0.24537037037037038
0.375,10.0,0.7344897048091537,0.10751174204051493,SWAR_BrierMix_lam005,0.16666666666666666,0.3260218658459262,0.2674882411956787,182,1.3551099300384521,artifact_gate_content_rank,21,460,0.054004384088899224,4,1.0,0.2,0.2465277777777778
0.3645833333333333,10.0,0.7343729997758233,0.09646894679301317,SWAR_BrierMix_lam010,0.15277777777777776,0.31751953195339405,0.2681144177913666,182,1.3548394441604614,artifact_gate_content_rank,21,460,0.05355602853255061,4,1.0,0.2,0.2523148148148148
0.3645833333333333,10.0,0.7342658011788981,0.09592301077726814,ArtifactReject_raw,0.15277777777777776,0.3566228638750223,0.2686603367328644,182,1.3544620275497437,artifact_gate_content_rank,21,460,0.053001015935766484,4,1.0,0.2,0.25810185185185186
0.3993055555555556,10.0,0.7386408151815103,0.12514587884975803,NaiveAug,0.1990740740740741,0.33843725718725715,0.27415966987609863,200,1.364112377166748,artifact_gate_content_rank,22,460,0.05436241396039374,4,1.0,0.2,0.2523148148148148
0.3854166666666667,10.0,0.7375927427232299,0.11329265342404446,SoftWeightArtifactReject_raw,0.18055555555555558,0.27804129363549246,0.2721240222454071,182,1.3619226217269897,artifact_gate_content_rank,22,460,0.050692871979754625,4,1.0,0.2,0.25115740740740744
0.3923611111111111,10.0,0.7472737605086175,0.13790915078587002,SWAR_TempScale_SourceVal,0.1898148148148148,0.2883686332850488,0.2544519603252411,182,1.3808659315109253,artifact_gate_content_rank,22,460,0.05381756226089645,4,5.0,0.2,0.2488425925925926
0.3958333333333333,10.0,0.7379348872910979,0.1253468659189012,SWAR_LabelSmoothing_eps005,0.19444444444444442,0.3144614809274495,0.2704864740371704,182,1.3624863624572754,artifact_gate_content_rank,22,460,0.05222681932196023,4,1.0,0.2,0.2488425925925926
