target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1,win_balanced_accuracy
100,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.038461538461538436,0.038461538461538436,0.03817663817663808,0.07692307692307698,0.017751479289940808,0.008555453557234527,-0.05700044256265241,-0.034815192222595215,1,1
100,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.01183431952662728,-0.031798659608914315,-0.002869782626800821,-0.0056400299072265625,0,0
101,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,0.0027563861438206216,0.005447069500944091,0.0063545238226652145,0,0
101,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.02857142857142858,-0.02777777777777779,-0.028524743230625593,-0.05690965891522448,-0.0032679738562092497,0.02737908022744316,-0.0014476204612126897,-0.0011679157614707947,0,0
101,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,0.014720734528132842,-0.01334364106983596,-0.008800894021987915,0,0
101,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0,-0.030020015580313544,0.0004834553834777433,0.0014173611998558044,0,0
101,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.0032679738562092497,0.00680063792637417,-0.004713457127934834,-0.0030595064163208008,0,0
102,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.05882352941176472,0.05476940960811938,0.11548141413342816,-0.009803921568627416,0.03410247479166306,0.010314712630320355,0.00039756298065185547,1,1
102,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.03267973856209139,0.019521955081394732,-0.11235502463778524,-0.05385392904281616,0,0
102,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.0032679738562092497,-0.028391933441162087,0.019249486644068448,0.0034311115741729736,0,0
102,23,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,-0.0490196078431373,0.07271765981401712,0.13479160757583686,0.04409688711166382,0,0
102,24,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,-0.11428571428571427,-0.11437908496732024,-0.11437908496732024,-0.2287581699346406,-0.06862745098039214,0.10409888752869195,0.268408158527939,0.1143229603767395,0,0
103,20,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.05714285714285716,0.05555555555555558,0.05611325611325613,0.11213665720624855,0.016339869281045694,0.05804569465773446,-0.03935307730388815,-0.029889404773712158,1,1
103,21,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,-0.003528629030500108,0.0012001844539879514,-0.016052067279815674,0,0
103,22,SoftWeight_noReject_LS010-vs-NaiveAug_LS010,0.02857142857142858,0.02614379084967322,0.03110902255639092,0.05375945424885065,0.0032679738562092497,-0.004998716286250565,-0.02122218616467797,-0.01861393451690674,1,1
