target_subject,n_seeds,baseline_macro_f1,baseline_balanced_accuracy,baseline_ece,primary_delta_macro_f1,primary_delta_balanced_accuracy,primary_delta_ece,primary_delta_nll,primary_seed_win_rate_macro_f1,secondary_delta_macro_f1,secondary_delta_balanced_accuracy,secondary_delta_ece,secondary_delta_nll,secondary_seed_win_rate_macro_f1,mean_content_score,std_content_score,mean_artifact_risk,p90_artifact_risk,p90_bad_artifact_reject_rate
100,5,0.7886738510155834,0.7923076923076924,0.14512792275502132,0.00702220520617769,0.007692307692307709,0.0007643899092307338,-0.016690703833221486,0.4,0.007879472192476911,0.0076923076923076875,-0.009655396067179172,-0.02621375633807891,0.6,0.5000000023469329,0.29450754591962947,426.7191995383091,1165.9528686523443,0.5
101,5,0.9714192343604108,0.9718954248366013,0.0817385332924979,-0.005704948646125118,-0.005555555555555558,0.00432736464909145,-0.00271483875491233,0.0,-0.005733005733005725,-0.005555555555555558,0.0010680687427520735,-0.003218659815065583,0.0,0.5000000023469329,0.29450754591962947,426.61528230503944,1170.3866088867192,0.5
102,5,0.6410627059158966,0.6473856209150326,0.267872816494533,-0.011921935071840173,-0.011111111111111105,0.04040980875492096,0.06408178814807589,0.2,-0.010316106635766053,-0.011764705882352932,0.015513736179896764,0.03167227520815323,0.4,0.5000000023469329,0.29450754591962947,393.51018124081935,1081.9083007812505,0.5
103,5,0.6779800151744124,0.6797385620915033,0.20370680315153938,0.006217539278435114,0.004901960784313731,0.010942500318799713,-0.0057979673267616995,0.6,0.011640319445922209,0.010457516339869289,-0.006533617206982201,-0.0061480442483992535,0.6,0.5000000023469329,0.29450754591962947,431.4184958127216,1182.2552551269537,0.5
104,5,0.6756949467355147,0.68125,0.2134258707985282,0.013089409057150992,0.0125,0.019504179153591393,0.017369705946611656,0.2,-0.012936214509040544,-0.0125,0.03276118189096451,0.03727255570514328,0.2,0.5000000023469329,0.29450754591962947,419.71802232560515,1156.1821362304693,0.5
105,5,0.9243718203763296,0.9264705882352942,0.10937268120901926,-0.017379109997705845,-0.017647058823529415,-0.002804376738412043,-0.00033587154230049765,0.2,0.005770769211171678,0.005882352941176472,0.00048827307564871245,-0.007266361559513268,0.4,0.5000000023469329,0.29450754591962947,418.0174372304715,1144.3094653320318,0.5
106,5,0.5623333198101,0.5674342105263157,0.2835749339205878,0.04083796624818301,0.041776315789473696,-0.0317421728372574,-0.06865564901805725,1.0,0.022707341613582278,0.023026315789473693,-0.03035460923399246,-0.05413235275528934,0.8,0.5000000023469329,0.29450754591962947,428.014612111941,1173.4878479003912,0.5
107,5,0.6136694887825349,0.6220394736842105,0.2608678948027747,-0.003404917576985067,-0.0032894736842104867,-0.01328449010849,-0.010101559686498974,0.2,-0.015335111016850478,-0.014802631578947345,-0.004262304902076708,-0.0038073357773552806,0.2,0.5000000023469329,0.29450754591962947,429.0314511188708,1174.9666296386724,0.5
108,5,0.6641592156602059,0.6699346405228758,0.23691741602761404,0.03971710830001636,0.039215686274509796,-0.026799202135631018,-0.04455477748758154,0.8,0.028145325045604696,0.02777777777777777,-0.013224928719656814,-0.02907931367157377,0.6,0.5000000023469329,0.29450754591962947,429.07426767893696,1172.1243774414068,0.5
109,5,0.5921848739495799,0.5950980392156863,0.25050387944493974,-0.0007420030601144711,0.000980392156862786,-0.002814663563455844,0.027226468262513716,0.4,0.0055643879173291385,0.006209150326797408,-0.020007690787315357,0.02578776914543259,0.4,0.5000000023469329,0.29450754591962947,425.07193274375794,1167.348344726563,0.5
