aug_id,original_local_index,aug_type,label,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,sas_score,artifact_gate_pass,score_artifact_gate_physio,component_gated_v1,component_gated_v1_soft
clean_005_01,5,clean,0,0.040816325694322586,0.9795918464660645,0.8163265585899353,0.4897959232330322,261.96905517578125,0.2877551019191742,1,0.8163265585899353,0.8571428656578064,0.5072886347770691
bad_artifact_005_02,5,bad_artifact,0,0.8571428656578064,0.3265306055545807,0.6530612111091614,0.040816325694322586,2946.525146484375,0.40816327929496765,0,0.0,0.0,0.1471886783838272
bad_content_005_03,5,bad_content,0,0.10204081982374191,0.22448979318141937,0.0,0.918367326259613,0.02752542309463024,0.5510203838348389,1,0.0,0.0,0.0
bad_physio_005_04,5,bad_physio,0,0.0,0.7346938848495483,0.3469387888908386,0.7755101919174194,0.7309815287590027,0.4265306293964386,1,0.3469387888908386,0.4285714328289032,0.35160350799560547
clean_006_00,6,clean,0,0.5102040767669678,0.040816325694322586,0.40816327929496765,0.5102040767669678,259.7647705078125,0.5102040767669678,1,0.40816327929496765,0.30612245202064514,0.18617244064807892
clean_006_01,6,clean,0,0.16326530277729034,0.7142857313156128,0.7755101919174194,0.30612245202064514,291.2533874511719,0.24183674156665802,1,0.7755101919174194,0.7551020383834839,0.335943341255188
bad_artifact_006_02,6,bad_artifact,0,0.8775510191917419,0.18367347121238708,0.5918367505073547,0.06122449040412903,1494.9097900390625,0.4285714030265808,0,0.0,0.0,0.13719283044338226
bad_content_006_03,6,bad_content,0,0.5918367505073547,0.5102040767669678,0.16326530277729034,0.8163265585899353,0.6516623497009277,0.7153061628341675,1,0.16326530277729034,0.18367347121238708,0.1566847264766693
bad_physio_006_04,6,bad_physio,0,0.12244898080825806,0.6326530575752258,0.22448979318141937,0.6530612111091614,1.4374643564224243,0.41428571939468384,1,0.22448979318141937,0.3265306055545807,0.23590169847011566
clean_007_00,7,clean,0,0.08163265138864517,0.12244898080825806,0.2857142984867096,0.44897958636283875,264.2010192871094,0.2836734652519226,1,0.2857142984867096,0.16326530277729034,0.0912952870130539
clean_007_01,7,clean,0,0.3265306055545807,1.0,0.8571428656578064,0.5714285969734192,242.52114868164062,0.4612244963645935,1,0.8571428656578064,0.918367326259613,0.6034985184669495
bad_artifact_007_02,7,bad_artifact,0,0.7755101919174194,0.20408163964748383,0.5510203838348389,0.18367347121238708,410.5474853515625,0.44999998807907104,1,0.5510203838348389,0.4693877696990967,0.1628488302230835
bad_content_007_03,7,bad_content,0,0.6938775777816772,0.40816327929496765,0.040816325694322586,0.9591836929321289,0.0053409128449857235,0.8397959470748901,1,0.040816325694322586,0.06122449040412903,0.05922532454133034
bad_physio_007_04,7,bad_physio,0,0.2448979616165161,0.7551020383834839,0.3265306055545807,0.8367347121238708,0.4637737274169922,0.5704081654548645,1,0.3265306055545807,0.40816327929496765,0.3548521399497986
clean_008_00,8,clean,0,0.7346938848495483,0.020408162847161293,0.08163265138864517,0.5510203838348389,250.58163452148438,0.6336734294891357,1,0.08163265138864517,0.020408162847161293,0.01307788398116827
clean_008_01,8,clean,0,0.2857142984867096,0.9591836929321289,0.7551020383834839,0.40816327929496765,271.3390197753906,0.3530612587928772,1,0.7551020383834839,0.7755101919174194,0.40832987427711487
bad_artifact_008_02,8,bad_artifact,0,1.0,0.30612245202064514,0.6734693646430969,0.12244898080825806,974.8001098632812,0.5173469185829163,1,0.6734693646430969,0.6734693646430969,0.2006663829088211
bad_content_008_03,8,bad_content,0,0.020408162847161293,0.36734694242477417,0.020408162847161293,0.8979591727256775,0.03172529488801956,0.5030612349510193,1,0.020408162847161293,0.040816325694322586,0.03748438134789467
bad_physio_008_04,8,bad_physio,0,0.6530612111091614,0.6530612111091614,0.10204081982374191,0.7551020383834839,0.8902151584625244,0.7091836929321289,1,0.10204081982374191,0.1428571492433548,0.11486880481243134
clean_009_00,9,clean,1,0.40816327929496765,0.8571428656578064,0.795918345451355,0.3265306055545807,289.6038818359375,0.3632653057575226,1,0.795918345451355,0.795918345451355,0.36709704995155334
clean_009_01,9,clean,1,0.1428571492433548,0.08163265138864517,0.2448979616165161,0.2448979616165161,308.09014892578125,0.19897958636283875,1,0.2448979616165161,0.12244898080825806,0.048479799181222916
bad_artifact_009_02,9,bad_artifact,1,0.8979591727256775,0.1428571492433548,0.5714285969734192,0.16326530277729034,420.37469482421875,0.4938775300979614,1,0.5714285969734192,0.5102040767669678,0.16867971420288086
bad_content_009_03,9,bad_content,1,0.4693877696990967,0.4897959232330322,0.20408163964748383,0.8775510191917419,0.12679512798786163,0.6938775777816772,1,0.20408163964748383,0.22448979318141937,0.20249895751476288
bad_physio_009_04,9,bad_physio,1,0.5714285969734192,0.6122449040412903,0.1428571492433548,0.7346938848495483,0.9641313552856445,0.6612244844436646,1,0.1428571492433548,0.20408163964748383,0.1607663631439209
