target_subject,seed,aug_type,n,reject_rate,mean_artifact_risk,mean_content_score
92,23,clean,20,0.0,276.64954833984376,0.3826530654914677
92,24,bad_artifact,10,0.5,1011.1486602783203,0.9000000059604645
92,24,bad_content,10,0.0,0.06987222931347788,0.46734694540500643
92,24,bad_physio,10,0.0,0.8384516596794128,0.4040816331282258
92,24,clean,20,0.0,262.9599418640137,0.3642857136204839
93,20,bad_artifact,10,0.5,1630.2679595947266,0.9061224520206451
93,20,bad_content,10,0.0,0.7257677726447582,0.4938775524497032
93,20,bad_physio,10,0.0,1.2688660055398941,0.2999999990686774
93,20,clean,20,0.0,268.26674423217776,0.40000000409781933
93,21,bad_artifact,10,0.5,2314.225476074219,0.8306122481822967
93,21,bad_content,10,0.0,0.8323448731563985,0.6551020383834839
93,21,bad_physio,10,0.0,1.5107003659009934,0.3346938854083419
93,21,clean,20,0.0,257.2089111328125,0.33979591988027097
93,22,bad_artifact,10,0.5,1767.0377655029297,0.8897959232330322
93,22,bad_content,10,0.0,0.4995885660871863,0.6183673456311226
93,22,bad_physio,10,0.0,1.1987761974334716,0.2673469414934516
93,22,clean,20,0.0,273.9245864868164,0.362244900688529
93,23,bad_artifact,10,0.5,1061.6414733886718,0.8755102097988129
93,23,bad_content,10,0.0,0.5313121517188847,0.5673469342291355
93,23,bad_physio,10,0.0,1.2110408335924148,0.3387755112722516
93,23,clean,20,0.0,268.8759490966797,0.35918367821723224
93,24,bad_artifact,10,0.5,983.3251251220703,0.897959190607071
93,24,bad_content,10,0.0,0.7791750528849661,0.5224489718675613
93,24,bad_physio,10,0.0,1.6336528033018112,0.4020408235490322
93,24,clean,20,0.0,255.9125991821289,0.3387755128555
94,20,bad_artifact,10,0.5,1687.8583587646485,0.8897959232330322
94,20,bad_content,10,0.0,0.3059348076581955,0.5877551063895226
94,20,bad_physio,10,0.0,1.0787078469991684,0.30816326234489677
94,20,clean,20,0.0,277.5935874938965,0.35714285988360644
94,21,bad_artifact,10,0.5,2390.818801879883,0.8306122459471226
94,21,bad_content,10,0.0,0.45753253549337386,0.493877549469471
94,21,bad_physio,10,0.0,1.7728080868721008,0.3591836726292968
94,21,clean,20,0.0,264.8949607849121,0.40816327184438705
94,22,bad_artifact,10,0.5,1819.4688995361328,0.9040816366672516
94,22,bad_content,10,0.0,0.33379286378622053,0.6040816336870194
94,22,bad_physio,10,0.0,1.1988557159900666,0.3367346921935678
94,22,clean,20,0.0,281.4013732910156,0.3275510245934129
94,23,bad_artifact,10,0.5,1094.911865234375,0.8551020503044129
94,23,bad_content,10,0.0,0.40982214696705344,0.528571431338787
94,23,bad_physio,10,0.0,1.1381232172250748,0.3795918395742774
94,23,clean,20,0.0,276.8570426940918,0.36836734525859355
94,24,bad_artifact,10,0.5,1012.935888671875,0.9061224520206451
94,24,bad_content,10,0.0,0.2413207195699215,0.5551020428538322
94,24,bad_physio,10,0.0,1.2907100200653077,0.4551020434126258
94,24,clean,20,0.0,263.5065856933594,0.29183673672378063
95,20,bad_artifact,10,0.5,1699.9019348144532,0.8959183752536773
95,20,bad_content,10,0.0,0.12368709831498563,0.5530612230300903
95,20,bad_physio,10,0.0,0.8629716515541077,0.2346938790753484
95,20,clean,20,0.0,279.76052322387693,0.4081632671877742
95,21,bad_artifact,10,0.5,2404.941766357422,0.8122448980808258
95,21,bad_content,10,0.0,0.19346718392334877,0.604081641510129
95,21,bad_physio,10,0.0,0.8033943235874176,0.36122448835521936
95,21,clean,20,0.0,266.30757064819335,0.36122449189424516
95,22,bad_artifact,10,0.5,1843.1528747558593,0.8367346994578838
95,22,bad_content,10,0.0,0.18482205867767335,0.49795918855816124
95,22,bad_physio,10,0.0,0.9271085351705551,0.3306122489273548
95,22,clean,20,0.0,283.1714210510254,0.4173469373956323
95,23,bad_artifact,10,0.5,1106.189892578125,0.8040816366672516
95,23,bad_content,10,0.0,0.2568278497550637,0.5693877607583999
95,23,bad_physio,10,0.0,0.8837595641613006,0.36530612371861937
95,23,clean,20,0.0,279.2872917175293,0.38061224529519677
95,24,bad_artifact,10,0.5,1024.0861053466797,0.902040821313858
95,24,bad_content,10,0.0,0.19559787306934595,0.318367350846529
95,24,bad_physio,10,0.0,0.8407472401857377,0.5530612248927355
95,24,clean,20,0.0,265.46277542114257,0.36326530734077095
96,20,bad_artifact,10,0.5,1704.660562133789,0.8938775599002838
96,20,bad_content,10,0.0,0.19704975448548795,0.581632649898529
96,20,bad_physio,10,0.0,1.650889551639557,0.3448979644104838
96,20,clean,20,0.0,279.9516571044922,0.3397959187626839
96,21,bad_artifact,10,0.5,2397.526870727539,0.7897959221154451
96,21,bad_content,10,0.0,0.21745614716783165,0.5448979655280709
96,21,bad_physio,10,0.0,1.5650806546211242,0.37346938624978065
96,21,clean,20,0.0,265.37680587768557,0.3959183689206839
96,22,bad_artifact,10,0.5,1836.502133178711,0.8775510251522064
96,22,bad_content,10,0.0,0.39779647970572113,0.5102040827274322
96,22,bad_physio,10,0.0,1.6594916105270385,0.383673470467329
96,22,clean,20,0.0,283.8554153442383,0.36428571669384835
96,23,bad_artifact,10,0.5,1106.854248046875,0.8673469424247742
96,23,bad_content,10,0.0,0.2440616229083389,0.46122448816895484
96,23,bad_physio,10,0.0,1.7714362740516663,0.4122448978945613
96,23,clean,20,0.0,278.63648147583007,0.37959184162318704
96,24,bad_artifact,10,0.5,1026.4866607666015,0.9040816366672516
96,24,bad_content,10,0.0,0.27933747074566784,0.4367346951738
96,24,bad_physio,10,0.0,1.701236867904663,0.39795918874442576
96,24,clean,20,0.0,264.8452651977539,0.38061224557459356
97,20,bad_artifact,10,0.5,1673.8246704101562,0.8918367385864258
97,20,bad_content,10,0.0,0.3349205903708935,0.5510204069316387
97,20,bad_physio,10,0.0,1.3553139388561248,0.281632655672729
97,20,clean,20,0.0,276.65183334350587,0.38775510527193546
97,21,bad_artifact,10,0.5,2376.7819396972654,0.8673469424247742
97,21,bad_content,10,0.0,0.41865016222000123,0.43265306279063226
