aug_id,original_local_index,aug_type,label,e_embed_raw,e_proto_raw,e_pred_raw,content_score,style_score,physio_score,artifact_safe_score,artifact_risk_raw,d_band,d_cov_riemann,d_style,e_total,artifact_gate_pass,soft_weight_v1_1,softar_weight_v1_1
channel_dropout_001_04,1,channel_dropout,1,0.9998760223388672,0.0900954008102417,-0.0,0.5762711763381958,0.6440678238868713,0.16949152946472168,0.9491525292396545,0.38649865984916687,381.4174499511719,14.735651016235352,206.4224395751953,1.0677965879440308,1,0.4440677762031555,0.4440677762031555
mild_frequency_mixup_001_05,1,mild_frequency_mixup,1,0.9998040795326233,0.08812230825424194,-0.0,0.4406779706478119,0.7118644118309021,0.5254237055778503,1.0,0.3334382474422455,59.713523864746094,1.304314374923706,184.54412841796875,1.3220338821411133,1,0.5796610116958618,0.5796610116958618
gaussian_noise_002_00,2,gaussian_noise,0,0.9999750852584839,0.11189031600952148,-0.0,1.0,0.9661017060279846,0.7457627058029175,0.050847455859184265,3.228743076324463,11.00693416595459,2.163396120071411,128.47341918945312,2.228813648223877,0,1.0,0.0
time_shift_002_01,2,time_shift,0,0.9918354749679565,0.09603476524353027,-0.0,0.4067796468734741,0.9830508232116699,0.9491525292396545,0.4237288236618042,1.04830002784729,0.0,1.8296046101762276e-12,128.42697143554688,1.8474576473236084,1,0.9322034120559692,0.9322034120559692
time_crop_002_02,2,time_crop,0,0.9999147057533264,0.11343592405319214,-0.0,0.9830508232116699,1.0,0.18644067645072937,0.2542372941970825,2.1778156757354736,247.76829528808594,1.6905863285064697,119.3150405883789,1.6694915294647217,1,0.8779661059379578,0.8779661059379578
frequency_mask_002_03,2,frequency_mask,0,0.9986188411712646,0.10870498418807983,-0.0,0.6101694703102112,0.694915235042572,0.1525423675775528,0.4067796468734741,1.0486284494400024,427.06365966796875,3.1395442485809326,192.3233184814453,1.1101694107055664,1,0.47118645906448364,0.47118645906448364
channel_dropout_002_04,2,channel_dropout,0,0.9998636841773987,0.11391937732696533,-0.0,0.9661017060279846,0.5762711763381958,0.10169491171836853,0.4406779706478119,0.9992595911026001,601.6473999023438,16.866161346435547,220.95802307128906,1.3559322357177734,1,0.6745762825012207,0.6745762825012207
mild_frequency_mixup_002_05,2,mild_frequency_mixup,0,0.9998626708984375,0.11146646738052368,-0.0,0.9491525292396545,0.8983050584793091,0.4576271176338196,0.4576271176338196,0.9551308751106262,88.50265502929688,2.161186456680298,135.05848693847656,1.8559322357177734,1,0.9457627534866333,0.9457627534866333
gaussian_noise_003_00,3,gaussian_noise,0,0.9996939301490784,-0.018222928047180176,-0.21102187037467957,0.11864406615495682,0.5932203531265259,0.6440678238868713,0.1525423675775528,2.6697726249694824,12.612473487854004,2.9269070625305176,219.90330505371094,1.0593221187591553,1,0.43050849437713623,0.43050849437713623
time_shift_003_01,3,time_shift,0,0.9968899488449097,-0.025549709796905518,-4.384317435324192e-06,0.0,0.6101694703102112,0.9152542352676392,0.7118644118309021,0.7035301923751831,0.0,2.719561988800967e-12,219.7793426513672,1.2203389406204224,1,0.5254237055778503,0.5254237055778503
time_crop_003_02,3,time_crop,0,0.9996384382247925,-0.01842421293258667,-0.35245203971862793,0.08474576473236084,0.6779661178588867,0.3050847351551056,0.508474588394165,0.8515278697013855,147.8579864501953,1.6163322925567627,199.93251037597656,0.7288135290145874,1,0.28135591745376587,0.28135591745376587
frequency_mask_003_03,3,frequency_mask,0,0.9990509748458862,-0.016411006450653076,-2.106214761734009,0.06779661029577255,0.6271186470985413,0.7966101765632629,0.8305084705352783,0.6550856828689575,8.557616233825684,0.4044756591320038,219.74717712402344,1.1779661178588867,1,0.511864423751831,0.511864423751831
channel_dropout_003_04,3,channel_dropout,0,0.9986087083816528,-0.029814481735229492,-0.05998539924621582,0.016949152573943138,0.16949152946472168,0.050847455859184265,0.7796609997749329,0.6838136911392212,674.6456298828125,16.999391555786133,287.3375549316406,0.152542382478714,1,0.20000000298023224,0.20000000298023224
mild_frequency_mixup_003_05,3,mild_frequency_mixup,0,0.9986017346382141,-0.010698199272155762,-1.6387583017349243,0.033898305147886276,0.5593220591545105,0.47457626461982727,0.9322034120559692,0.4570160210132599,88.92527770996094,1.1667914390563965,222.54061889648438,0.7881356477737427,1,0.3491525650024414,0.3491525650024414
gaussian_noise_004_00,4,gaussian_noise,1,0.9999209642410278,0.08331984281539917,-0.0,0.6779661178588867,0.37288135290145874,0.6271186470985413,0.06779661029577255,3.1441047191619873,12.040868759155273,3.657153844833374,250.76991271972656,1.491525411605835,0,0.7559322118759155,0.0
time_shift_004_01,4,time_shift,1,0.9933407306671143,0.0961732268333435,-0.0,0.4237288236618042,0.38983049988746643,0.8474576473236084,0.5593220591545105,0.8154317140579224,0.0,4.333123269917305e-12,250.75181579589844,1.4661017656326294,1,0.7288135290145874,0.7288135290145874
time_crop_004_02,4,time_crop,1,0.9999087452888489,0.08307957649230957,-0.0,0.5932203531265259,0.508474588394165,0.4406779706478119,0.5423728823661804,0.8281837701797485,98.11557006835938,1.6140238046646118,237.42489624023438,1.2881356477737427,1,0.5661017298698425,0.5661017298698425
frequency_mask_004_03,4,frequency_mask,1,0.9998095035552979,0.08159470558166504,-0.0,0.35593220591545105,0.35593220591545105,0.8135592937469482,0.6440678238868713,0.75349360704422,6.303249359130859,0.6561524868011475,250.77174377441406,1.3474576473236084,1,0.6610169410705566,0.6610169410705566
channel_dropout_004_04,4,channel_dropout,1,0.9964689016342163,0.07730191946029663,-0.0,0.1525423675775528,0.11864406615495682,0.08474576473236084,0.5762711763381958,0.781104564666748,646.475830078125,16.60491943359375,316.2543029785156,0.29661017656326294,1,0.22711864113807678,0.22711864113807678
mild_frequency_mixup_004_05,4,mild_frequency_mixup,1,0.999881386756897,0.08290225267410278,-0.0,0.38983049988746643,0.5423728823661804,0.23728813230991364,0.9152542352676392,0.5004364252090454,172.5867156982422,1.43281888961792,233.27073669433594,0.8983050584793091,1,0.4033898413181305,0.4033898413181305
gaussian_noise_005_00,5,gaussian_noise,1,0.9999407529830933,0.08218711614608765,-0.0,0.7118644118309021,0.20338982343673706,0.7288135886192322,0.1355932205915451,2.705678701400757,11.397543907165527,2.369556188583374,279.192626953125,1.5423729419708252,1,0.7966101765632629,0.7966101765632629
time_shift_005_01,5,time_shift,1,0.9917673468589783,0.09810411930084229,-0.0,0.2711864411830902,0.23728813230991364,0.9322034120559692,0.7288135886192322,0.6944921612739563,0.0,2.0134933217258455e-12,278.8755798339844,1.3220340013504028,1,0.5932203531265259,0.5932203531265259
