target_subject,seed,aug_id,augmentation_type,label,E_embed,E_proto,E_pred,E_content,artifact_score,artifact_safe,E_physio,E_style,D_band,D_cov,D_style,content_utility_weight,raw_CE_loss,augmented_correctness,nonfinite_content_skip
94,22,frequency_mask_006_03,frequency_mask,1,0.9999595284461975,0.021993637084960938,-0.0053144581615924835,0.6101694703102112,0.7830533981323242,0.6779661178588867,0.8305084705352783,0.8644067645072937,2.7434885501861572,0.09490750730037689,190.69778442382812,1.0550847053527832,0.3066261410713196,1,0
94,22,channel_dropout_006_04,channel_dropout,1,0.9993315935134888,0.028839170932769775,-0.1594427525997162,0.20338982343673706,0.7735198140144348,0.694915235042572,0.20338982343673706,0.508474588394165,486.4451599121094,15.935859680175781,236.4520263671875,0.8516949415206909,0.054960813373327255,1,0
94,22,mild_frequency_mixup_006_05,mild_frequency_mixup,1,0.9998025298118591,0.02388787269592285,-0.02561117708683014,0.33898305892944336,0.6452670693397522,0.7627118825912476,0.32203391194343567,0.5593220591545105,258.3719787597656,1.220906138420105,217.64991760253906,0.9194915294647217,0.1464119553565979,1,0
94,22,gaussian_noise_007_00,gaussian_noise,1,0.9998675584793091,0.03731328248977661,-0.014398768544197083,0.5932203531265259,2.792271852493286,0.1355932205915451,0.6271186470985413,0.08474576473236084,10.999438285827637,2.5429306030273438,328.16925048828125,1.0466101169586182,0.0969710499048233,1,0
94,22,time_shift_007_01,time_shift,1,0.9993918538093567,0.04686242341995239,-0.016518758609890938,0.3050847351551056,1.4815927743911743,0.38983049988746643,0.8474576473236084,0.10169491171836853,0.0,1.790177489753575e-12,327.7450866699219,0.9025423526763916,0.018483901396393776,1,0
94,22,time_crop_007_02,time_crop,1,0.9996266961097717,0.03949552774429321,-0.0035308338701725006,0.32203391194343567,6.503979682922363,0.10169491171836853,0.016949152573943138,0.7966101765632629,1371.013427734375,2.1535685062408447,196.24330139160156,0.9110169410705566,0.03222675621509552,1,0
94,22,frequency_mask_007_03,frequency_mask,1,0.9886674284934998,0.07572352886199951,-0.22316697239875793,0.2881355881690979,1.1410197019577026,0.47457626461982727,0.08474576473236084,0.016949152573943138,758.0979614257812,3.896212339401245,393.7500915527344,0.8940677642822266,0.00016356850392185152,1,0
94,22,channel_dropout_007_04,channel_dropout,1,0.9998413920402527,0.04092872142791748,-0.004108855500817299,0.5593220591545105,1.4147052764892578,0.4067796468734741,0.10169491171836853,0.050847455859184265,540.8082885742188,16.820863723754883,358.39422607421875,1.0296610593795776,0.03112291544675827,1,0
94,22,mild_frequency_mixup_007_05,mild_frequency_mixup,1,0.9997805953025818,0.04328423738479614,-0.00681585818529129,0.47457626461982727,1.1669355630874634,0.4406779706478119,0.3050847351551056,0.06779661029577255,268.2759704589844,2.385254383087158,328.9989318847656,0.9872881174087524,0.027022767812013626,1,0
94,22,gaussian_noise_008_00,gaussian_noise,0,0.9999850392341614,0.10260063409805298,-0.0,1.0,1.864644169807434,0.2881355881690979,0.7627118825912476,0.38983049988746643,10.247997283935547,1.5668004751205444,254.89776611328125,1.25,-0.0,1,0
