acc,ece,group,kappa,layer,macro_f1,n_train,nll,seed,target_subject
0.6840277777777778,0.17899660610904292,SASCertTop50,0.5787037037037037,layer3,0.6798801810999225,70,0.8953564763069153,22,3
0.4444444444444444,0.06479849283479983,NoAug,0.25925925925925924,layer3,0.4216884579542405,20,1.2367907762527466,20,4
0.4618055555555556,0.07561098742816182,NaiveAug,0.28240740740740744,layer3,0.43992943258639305,120,1.2203044891357422,20,4
0.4548611111111111,0.09137354222022824,Random50,0.27314814814814814,layer3,0.45371749507404957,70,1.2058106660842896,20,4
0.4409722222222222,0.05332390043056674,SASCertTop50,0.2546296296296296,layer3,0.43394712783377376,70,1.221134066581726,20,4
0.4236111111111111,0.08797872708075577,NoAug,0.23148148148148148,layer3,0.38615365994136586,20,1.2469147443771362,21,4
0.4479166666666667,0.028739263924459614,NaiveAug,0.2638888888888889,layer3,0.4136377641326208,120,1.2274417877197266,21,4
0.4375,0.057596016261312694,Random50,0.25,layer3,0.4053631437564642,70,1.2433271408081055,21,4
0.4444444444444444,0.08812301937076782,SASCertTop50,0.25925925925925924,layer3,0.41517680038007454,70,1.2352781295776367,21,4
0.4270833333333333,0.09150403903590307,NoAug,0.23611111111111108,layer3,0.42190030444769056,20,1.2122454643249512,22,4
0.4201388888888889,0.03492624664472209,NaiveAug,0.22685185185185186,layer3,0.4267727930718334,120,1.2244045734405518,22,4
0.4131944444444444,0.05120867904689578,Random50,0.21759259259259256,layer3,0.4191062569341232,70,1.2192775011062622,22,4
0.4305555555555556,0.054869142257505,SASCertTop50,0.24074074074074078,layer3,0.43605253405642075,70,1.2068475484848022,22,4
0.25,0.23274198526309597,NoAug,0.0,layer3,0.13699809547468225,20,1.6354479789733887,20,5
0.2951388888888889,0.08637217799615529,NaiveAug,0.060185185185185196,layer3,0.24500373516655738,120,1.4410555362701416,20,5
0.3125,0.07593243765748209,Random50,0.08333333333333333,layer3,0.26592071526550887,70,1.4799041748046875,20,5
0.28125,0.16852565363256466,SASCertTop50,0.041666666666666664,layer3,0.21957025773751754,70,1.5947661399841309,20,5
0.2777777777777778,0.21179014237390623,NoAug,0.037037037037037056,layer3,0.1720462773094352,20,1.6606680154800415,21,5
0.2638888888888889,0.13897156674000952,NaiveAug,0.018518518518518528,layer3,0.21455878598641057,120,1.4412617683410645,21,5
0.2673611111111111,0.18063871924661928,Random50,0.02314814814814814,layer3,0.20437357378329413,70,1.5234522819519043,21,5
0.2708333333333333,0.21571191658990252,SASCertTop50,0.027777777777777752,layer3,0.181796633126935,70,1.5720869302749634,21,5
0.24305555555555555,0.26334813899464077,NoAug,-0.009259259259259264,layer3,0.1315454197987005,20,1.6270157098770142,22,5
0.2604166666666667,0.17416504967129892,NaiveAug,0.013888888888888914,layer3,0.1951395013080165,120,1.4730782508850098,22,5
0.2638888888888889,0.19740746941210496,Random50,0.018518518518518528,layer3,0.17378665599501988,70,1.5128220319747925,22,5
0.2743055555555556,0.18198764598410988,SASCertTop50,0.03240740740740744,layer3,0.20920704939692283,70,1.5089918375015259,22,5
0.3055555555555556,0.1972019854001701,NoAug,0.07407407407407411,layer3,0.2978609839249843,20,1.4304792881011963,20,6
0.34375,0.11444200021732183,NaiveAug,0.125,layer3,0.32636373741028274,120,1.3527017831802368,20,6
0.3229166666666667,0.13684594755371413,Random50,0.09722222222222225,layer3,0.31523486808428614,70,1.3573906421661377,20,6
0.3263888888888889,0.1452385018476182,SASCertTop50,0.10185185185185186,layer3,0.31226469093316916,70,1.3811105489730835,20,6
0.375,0.15326799938662183,NoAug,0.16666666666666666,layer3,0.35745873543747997,20,1.4809411764144897,21,6
0.3958333333333333,0.1207713173288438,NaiveAug,0.19444444444444442,layer3,0.3821239144372559,120,1.4114909172058105,21,6
0.4027777777777778,0.11576286232512857,Random50,0.20370370370370372,layer3,0.3953935651072396,70,1.3802982568740845,21,6
0.3923611111111111,0.14047027891501787,SASCertTop50,0.1898148148148148,layer3,0.368386397114991,70,1.397074580192566,21,6
0.3576388888888889,0.12964985002246168,NoAug,0.14351851851851852,layer3,0.36010637197077877,20,1.377543330192566,22,6
0.375,0.09126134247829518,NaiveAug,0.16666666666666666,layer3,0.3761097324056385,120,1.3484318256378174,22,6
0.3923611111111111,0.09981342353340653,Random50,0.1898148148148148,layer3,0.39271325034036897,70,1.3447800874710083,22,6
0.3645833333333333,0.10123618511069152,SASCertTop50,0.15277777777777776,layer3,0.36450432882471717,70,1.3430360555648804,22,6
0.4375,0.04526795074343682,NoAug,0.25,layer3,0.43602218856160585,20,1.2520843744277954,20,7
0.4409722222222222,0.05249364254996181,NaiveAug,0.2546296296296296,layer3,0.41958559932393247,120,1.2454332113265991,20,7
0.4270833333333333,0.04688936244282458,Random50,0.23611111111111108,layer3,0.41787865942865987,70,1.2589346170425415,20,7
0.4618055555555556,0.04114010681708654,SASCertTop50,0.28240740740740744,layer3,0.45312072465686926,70,1.255969524383545,20,7
0.3854166666666667,0.07023999177747303,NoAug,0.18055555555555558,layer3,0.3673198500089777,20,1.2668604850769043,21,7
0.4513888888888889,0.06090217280305094,NaiveAug,0.26851851851851855,layer3,0.45157649385947796,120,1.2370803356170654,21,7
0.3888888888888889,0.06407679358704221,Random50,0.1851851851851852,layer3,0.3756832421367222,70,1.2515766620635986,21,7
0.4444444444444444,0.07578849958048926,SASCertTop50,0.25925925925925924,layer3,0.4440703553927535,70,1.264199137687683,21,7
0.4236111111111111,0.0671719301285015,NoAug,0.23148148148148148,layer3,0.4257899857817621,20,1.2425060272216797,22,7
0.46875,0.05864741529027621,NaiveAug,0.2916666666666667,layer3,0.46287028030449084,120,1.2255038022994995,22,7
0.4340277777777778,0.042475577133397266,Random50,0.24537037037037038,layer3,0.43622770064348987,70,1.2252981662750244,22,7
0.4166666666666667,0.038387359844313726,SASCertTop50,0.22222222222222224,layer3,0.4189348972931063,70,1.2300420999526978,22,7
0.6666666666666666,0.15668884488857454,NoAug,0.5555555555555555,layer3,0.6418209697279466,20,0.9176964163780212,20,8
0.6354166666666666,0.13907493899265924,NaiveAug,0.5138888888888888,layer3,0.6075392591199723,120,0.9607520699501038,20,8
0.6388888888888888,0.1698225175754892,Random50,0.5185185185185185,layer3,0.6083013534360383,70,0.9573180675506592,20,8
0.6736111111111112,0.1741510009807017,SASCertTop50,0.5648148148148149,layer3,0.6458832706383227,70,0.9223607182502747,20,8
0.6388888888888888,0.14729177155014542,NoAug,0.5185185185185185,layer3,0.6232830688858392,20,0.9522323608398438,21,8
0.6145833333333334,0.12952887825667855,NaiveAug,0.48611111111111116,layer3,0.5915792038937554,120,0.9734728336334229,21,8
0.6111111111111112,0.1478835613363319,Random50,0.48148148148148157,layer3,0.594503369544355,70,0.9879989624023438,21,8
0.6354166666666666,0.1374757436828481,SASCertTop50,0.5138888888888888,layer3,0.6072905140525857,70,0.9543287754058838,21,8
0.6388888888888888,0.12835853370941347,NoAug,0.5185185185185185,layer3,0.6184025582903538,20,0.9353396892547607,22,8
0.6493055555555556,0.12024718409197195,NaiveAug,0.5324074074074074,layer3,0.6138708473310936,120,0.927605926990509,22,8
0.6527777777777778,0.1489897998463776,Random50,0.5370370370370371,layer3,0.6239251405260091,70,0.9366596937179565,22,8
0.6388888888888888,0.12355294678774145,SASCertTop50,0.5185185185185185,layer3,0.6075443510737628,70,0.9322741627693176,22,8
0.5486111111111112,0.0584237441006634,NoAug,0.3981481481481482,layer3,0.5419912317633887,20,1.1622586250305176,20,9
0.5555555555555556,0.03754147421568632,NaiveAug,0.40740740740740744,layer3,0.5391761491188685,120,1.1780232191085815,20,9
0.5590277777777778,0.053971329496966466,Random50,0.41203703703703703,layer3,0.546610037545152,70,1.1490296125411987,20,9
0.5763888888888888,0.06224635833253463,SASCertTop50,0.4351851851851851,layer3,0.5786121070758208,70,1.0214745998382568,20,9
0.5208333333333334,0.10070526537795861,NoAug,0.36111111111111116,layer3,0.5170387000926112,20,1.1922552585601807,21,9
0.5243055555555556,0.06019711256441143,NaiveAug,0.36574074074074076,layer3,0.5298387720515503,120,1.0757325887680054,21,9
0.4930555555555556,0.09359227829716271,Random50,0.3240740740740741,layer3,0.4879360405676195,70,1.089271068572998,21,9
0.5173611111111112,0.08005569306098753,SASCertTop50,0.35648148148148157,layer3,0.5215092486495334,70,1.0812047719955444,21,9
0.5451388888888888,0.09040729846391413,NoAug,0.39351851851851843,layer3,0.5435779524168552,20,1.1562960147857666,22,9
0.5486111111111112,0.02730713939915101,NaiveAug,0.3981481481481482,layer3,0.5476241906367105,120,1.0884294509887695,22,9
0.5208333333333334,0.07609328110184933,Random50,0.36111111111111116,layer3,0.5184650874867365,70,1.1159921884536743,22,9
0.5277777777777778,0.045827039517462254,SASCertTop50,0.3703703703703704,layer3,0.5245861823705529,70,1.1200004816055298,22,9
