acc,ece,group,kappa,layer,macro_f1,n_train,nll,seed,target_subject
0.3645833333333333,0.07297270807127158,SASCertTop50,0.15277777777777776,layer3,0.2523083695677358,110,1.3429311513900757,21,3
0.3055555555555556,0.07380558700404231,NoAug,0.07407407407407411,layer3,0.20024812494293975,20,1.3525608777999878,22,3
0.3298611111111111,0.05867770614309443,NaiveAug,0.10648148148148147,layer3,0.23256869011082792,200,1.3509987592697144,22,3
0.2604166666666667,0.1628495114855468,Random50,0.013888888888888914,layer3,0.12102272727272727,110,1.38265860080719,22,3
0.34375,0.058327671243912645,SASCertTop50,0.125,layer3,0.25925361509025024,110,1.3496167659759521,22,3
0.3194444444444444,0.04872496984899043,NoAug,0.09259259259259256,layer3,0.2867763525762077,20,1.360077977180481,20,4
0.3472222222222222,0.08011240222387844,NaiveAug,0.12962962962962962,layer3,0.28683584261471906,200,1.360922932624817,20,4
0.3020833333333333,0.03312019631266594,Random50,0.06944444444444442,layer3,0.2022658192870959,110,1.3649036884307861,20,4
0.3576388888888889,0.07827704875833459,SASCertTop50,0.14351851851851852,layer3,0.2812149548123227,110,1.3616485595703125,20,4
0.2951388888888889,0.02488595526665449,NoAug,0.060185185185185196,layer3,0.2640683740601504,20,1.3580373525619507,21,4
0.3888888888888889,0.12097276074604855,NaiveAug,0.1851851851851852,layer3,0.3804904503022735,200,1.356812834739685,21,4
0.2604166666666667,0.04680678579542372,Random50,0.013888888888888914,layer3,0.1272934472934473,110,1.3694707155227661,21,4
0.3541666666666667,0.10034168811721934,SASCertTop50,0.13888888888888892,layer3,0.24687705657604359,110,1.35995614528656,21,4
0.34375,0.07337581304212411,NoAug,0.125,layer3,0.29729651280777947,20,1.3636797666549683,22,4
0.3576388888888889,0.08487304113805294,NaiveAug,0.14351851851851852,layer3,0.2954052836314758,200,1.3615721464157104,22,4
0.3125,0.05419341164330641,Random50,0.08333333333333333,layer3,0.22940413172898486,110,1.3665359020233154,22,4
0.3402777777777778,0.05288493726402521,SASCertTop50,0.12037037037037039,layer3,0.2910787273136343,110,1.37229323387146,22,4
0.2465277777777778,0.03976743259570665,NoAug,-0.004629629629629613,layer3,0.13614718614718616,20,1.3876557350158691,20,5
0.22569444444444445,0.05045157769281003,NaiveAug,-0.032407407407407406,layer3,0.14272844867411993,200,1.3866775035858154,20,5
0.2465277777777778,0.05303351581096649,Random50,-0.004629629629629613,layer3,0.11051643192488263,110,1.3947259187698364,20,5
0.2222222222222222,0.06422245580082138,SASCertTop50,-0.037037037037037056,layer3,0.14712824547600314,110,1.3896178007125854,20,5
0.2916666666666667,0.02128694372044669,NoAug,0.05555555555555558,layer3,0.2471191391977724,20,1.3889679908752441,21,5
0.2916666666666667,0.057520100846886635,NaiveAug,0.05555555555555558,layer3,0.22479201067012583,200,1.3856500387191772,21,5
0.2673611111111111,0.01280670514744189,Random50,0.02314814814814814,layer3,0.1765044939824282,110,1.3906937837600708,21,5
0.2569444444444444,0.02608185820281506,SASCertTop50,0.009259259259259226,layer3,0.16817782977478796,110,1.3911739587783813,21,5
0.2743055555555556,0.008763613800207773,NoAug,0.03240740740740744,layer3,0.23192939629208012,20,1.3861819505691528,22,5
0.28125,0.010866413513819376,NaiveAug,0.041666666666666664,layer3,0.20117636246668505,200,1.386769413948059,22,5
0.2743055555555556,0.003411533000568549,Random50,0.03240740740740744,layer3,0.1764331210191083,110,1.3859400749206543,22,5
0.2638888888888889,0.013289305691917738,SASCertTop50,0.018518518518518528,layer3,0.20541501724656808,110,1.3912426233291626,22,5
0.2569444444444444,0.08449761253885096,NoAug,0.009259259259259226,layer3,0.12965285782086922,20,1.376678705215454,20,6
0.2951388888888889,0.05204136473023229,NaiveAug,0.060185185185185196,layer3,0.19384961361989855,200,1.369649887084961,20,6
0.3125,0.04452416735390822,Random50,0.08333333333333333,layer3,0.2146419740373584,110,1.3900822401046753,20,6
