acc,artifact_reject_percentile,ece,group,kappa,layer,macro_f1,n_train,nll,score_variant,seed,target_subject,w_min
0.2569444444444444,10.0,0.06329231440193123,NoAug,0.009259259259259226,layer3_v2,0.18008964451286813,20,1.4117531776428223,artifact_gate_content_rank,22,2,0.2
0.2569444444444444,10.0,0.06949258921667933,NaiveAug,0.009259259259259226,layer3_v2,0.13500086251509402,200,1.413246750831604,artifact_gate_content_rank,22,2,0.2
0.2326388888888889,10.0,0.0787423057999048,Random50,-0.02314814814814814,layer3_v2,0.16385622704680142,110,1.440561056137085,artifact_gate_content_rank,22,2,0.2
0.2465277777777778,10.0,0.07247271192156605,SASCertTop50,-0.004629629629629613,layer3_v2,0.17877668308702793,110,1.424129605293274,artifact_gate_content_rank,22,2,0.2
0.2534722222222222,10.0,0.05874761897656653,ArtifactReject,0.004629629629629613,layer3_v2,0.19542084198902954,182,1.4122916460037231,artifact_gate_content_rank,22,2,0.2
0.2638888888888889,10.0,0.08157659942905109,SoftWeight,0.018518518518518528,layer3_v2,0.1486526862005036,200,1.4194623231887817,artifact_gate_content_rank,22,2,0.2
0.2569444444444444,10.0,0.03715785716970762,SoftWeightArtifactReject,0.009259259259259226,layer3_v2,0.19082415919494572,182,1.4097394943237305,artifact_gate_content_rank,22,2,0.2
0.3611111111111111,10.0,0.08561234569383992,NoAug,0.14814814814814814,layer3_v2,0.3445597639462916,20,1.35336434841156,artifact_gate_content_rank,20,3,0.2
0.3333333333333333,10.0,0.09354638556639354,NaiveAug,0.11111111111111109,layer3_v2,0.26186595756847947,200,1.3569566011428833,artifact_gate_content_rank,20,3,0.2
0.2916666666666667,10.0,0.03457322302791807,Random50,0.05555555555555558,layer3_v2,0.17708333333333331,110,1.3742108345031738,artifact_gate_content_rank,20,3,0.2
0.3194444444444444,10.0,0.04207562437901894,SASCertTop50,0.09259259259259256,layer3_v2,0.254183129664516,110,1.3577487468719482,artifact_gate_content_rank,20,3,0.2
0.3298611111111111,10.0,0.06575980870467094,ArtifactReject,0.10648148148148147,layer3_v2,0.29286653385322164,182,1.3552252054214478,artifact_gate_content_rank,20,3,0.2
0.3506944444444444,10.0,0.07151148085378939,SoftWeight,0.13425925925925922,layer3_v2,0.3229754372643734,200,1.3523082733154297,artifact_gate_content_rank,20,3,0.2
0.3263888888888889,10.0,0.04580105375498533,SoftWeightArtifactReject,0.10185185185185186,layer3_v2,0.2778883115692666,182,1.3553595542907715,artifact_gate_content_rank,20,3,0.2
0.3819444444444444,10.0,0.1012804624107149,NoAug,0.1759259259259259,layer3_v2,0.35326183994081484,20,1.3405691385269165,artifact_gate_content_rank,21,3,0.2
0.3680555555555556,10.0,0.09840640084197123,NaiveAug,0.15740740740740744,layer3_v2,0.35076080121738834,200,1.3440685272216797,artifact_gate_content_rank,21,3,0.2
0.3333333333333333,10.0,0.06293491212030251,Random50,0.11111111111111109,layer3_v2,0.2786685641998735,110,1.3474738597869873,artifact_gate_content_rank,21,3,0.2
0.3715277777777778,10.0,0.07938304057137834,SASCertTop50,0.16203703703703706,layer3_v2,0.2616931592392847,110,1.3406431674957275,artifact_gate_content_rank,21,3,0.2
0.34375,10.0,0.057804088211721845,ArtifactReject,0.125,layer3_v2,0.30036520175006853,182,1.3416551351547241,artifact_gate_content_rank,21,3,0.2
0.3923611111111111,10.0,0.1141804415318701,SoftWeight,0.1898148148148148,layer3_v2,0.37003797412152556,200,1.3403252363204956,artifact_gate_content_rank,21,3,0.2
0.3784722222222222,10.0,0.097493470646441,SoftWeightArtifactReject,0.17129629629629628,layer3_v2,0.3354244592616686,182,1.3396391868591309,artifact_gate_content_rank,21,3,0.2
0.3055555555555556,10.0,0.07380560697573753,NoAug,0.07407407407407411,layer3_v2,0.20024812494293975,20,1.3525608777999878,artifact_gate_content_rank,22,3,0.2
0.3125,10.0,0.05450875824317336,NaiveAug,0.08333333333333333,layer3_v2,0.2376927239765132,200,1.3499144315719604,artifact_gate_content_rank,22,3,0.2
0.2569444444444444,10.0,0.16895285520392161,Random50,0.009259259259259226,layer3_v2,0.1145154280747501,110,1.385412335395813,artifact_gate_content_rank,22,3,0.2
0.3402777777777778,10.0,0.05292955641117361,SASCertTop50,0.12037037037037039,layer3_v2,0.23999572304657046,110,1.350785732269287,artifact_gate_content_rank,22,3,0.2
0.3506944444444444,10.0,0.05882306655661928,ArtifactReject,0.13425925925925922,layer3_v2,0.27122482032720213,182,1.3497686386108398,artifact_gate_content_rank,22,3,0.2
0.3402777777777778,10.0,0.07596357963565323,SoftWeight,0.12037037037037039,layer3_v2,0.2897854499229589,200,1.347693920135498,artifact_gate_content_rank,22,3,0.2
0.3541666666666667,10.0,0.06269220252417855,SoftWeightArtifactReject,0.13888888888888892,layer3_v2,0.2807001304491137,182,1.348135232925415,artifact_gate_content_rank,22,3,0.2
0.3194444444444444,10.0,0.04872495453390809,NoAug,0.09259259259259256,layer3_v2,0.2867763525762077,20,1.360077977180481,artifact_gate_content_rank,20,4,0.2
0.3472222222222222,10.0,0.07546109126673804,NaiveAug,0.12962962962962962,layer3_v2,0.3006659721705484,200,1.3604817390441895,artifact_gate_content_rank,20,4,0.2
0.3055555555555556,10.0,0.03389778102023734,Random50,0.07407407407407411,layer3_v2,0.20907945238938877,110,1.3642752170562744,artifact_gate_content_rank,20,4,0.2
