target_subject,seed,comparison,delta_accuracy,delta_balanced_accuracy,delta_macro_f1,delta_kappa,delta_auroc,delta_ece,delta_nll,delta_brier,win_macro_f1
99,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.057142857142857106,0.057189542483660205,0.057189542483660094,0.1140065146579805,0.006535947712418277,0.026287888629095923,0.005702804860494792,-0.0055269598960876465,1
99,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0065359477124183885,0.012160374437059696,0.00768715574763712,0.003285348415374756,0
99,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.011691655431474934,-0.006103346709894764,-0.000272214412689209,0
99,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0016339869281045694,-0.00730434274480507,0.0027492452667160494,0.006535947712418277,-0.05870770301137654,0.029023008572232167,0.01098257303237915,0
100,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.011834319526627168,0.03385622570147884,0.023784631841157422,0.014823585748672485,0
100,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.038461538461538436,-0.038461538461538436,-0.042117022762183876,-0.07692307692307687,0.00591715976331364,0.0024332782396902786,0.0020301757127558218,0.00099104642868042,0
100,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.038461538461538436,0.03846153846153855,0.03783068783068777,0.07692307692307687,0.0,0.01104231064136213,0.01420152978302186,0.013064265251159668,1
100,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.005917159763313529,0.006059089532265305,-0.008376714945080244,-0.0034331977367401123,0
100,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,-0.0012919742327470174,0.015975640132432245,0.0072227418422698975,0
101,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02941176470588236,0.028665028665028625,0.057283142389525366,0.0,-0.0044144238744463354,-0.005907197490828811,-0.003499835729598999,1
101,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02941176470588236,-0.028524743230625593,-0.057282229224564274,-0.009803921568627527,0.009978891270501292,0.009934684729873494,0.0066676512360572815,0
101,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.001007441111973359,-0.00278736755569918,-0.002130746841430664,0
101,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.0008241057395935031,0.0037992597919571935,0.0023245960474014282,0
101,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.008900465284075065,-0.00252027417453643,-0.0025679096579551697,0
102,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02941176470588236,0.027283041661225083,0.05764697215264469,0.0,0.019929911409105577,0.007417653059488161,0.0028982460498809814,1
102,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,0.08405733960015432,-0.015617495497128209,-0.007062315940856934,0
102,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.006535947712418277,0.029994194848196876,-0.009033579916212453,-0.007323861122131348,0
102,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0016339869281045694,-0.008333333333333415,0.002557678254515028,-0.03921568627450989,-0.042434063979557624,0.04992442457049151,0.029209494590759277,0
102,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777779,-0.026978850508262264,-0.05503674464875985,-0.026143790849673165,0.032932980997221806,0.12935656248297422,0.06055229902267456,0
103,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.0065359477124183885,-0.003092950156756813,-0.005718536018849973,-0.005207449197769165,0
103,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777779,-0.02677832919768397,-0.05652601330913487,0.009803921568627416,0.006550950663430394,0.002854570166535897,-0.009278029203414917,0
103,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.006535947712418277,0.010628400530133891,-0.01805698185693727,-0.0036707520484924316,0
103,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.02857142857142858,-0.02777777777777779,-0.027821939586645583,-0.05615994351914255,-0.019607843137254943,0.06496579561914717,0.019980817768589954,0.007642894983291626,0
103,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.02777777777777779,0.027486367946894075,0.05634407448150036,-0.006535947712418277,0.00832839097295493,0.0026905145488491655,0.0010075867176055908,1
104,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0625,0.0625,0.06860850998782042,0.125,0.015625,0.02513234643265605,-0.04286693561265609,-0.03078991174697876,1
104,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.00390625,0.008667954243719578,0.0011496576157796756,-0.0008570551872253418,0
104,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0234375,-0.006153631955385208,-0.05155239171414394,-0.02369534969329834,0
104,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0625,0.0625,0.06151960784313726,0.125,0.0,-0.061153069138526917,0.0013600371655182464,-0.0018674731254577637,1
104,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.00390625,-0.03277861326932907,-0.007604616247156026,0.00370103120803833,0
105,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0032679738562092497,-0.0002196601458958336,-0.0005098410239997853,-0.0002992302179336548,0
105,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.05714285714285716,-0.05882352941176472,-0.05756578947368418,-0.11475409836065575,0.0,-0.022638520172664087,0.004518846493854561,0.00602152943611145,0
105,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,-0.016339869281045694,0.02550030265535627,0.023056754978824534,0.014595210552215576,0
105,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,-0.05714285714285716,-0.05882352941176472,-0.05818360657070343,-0.11513065071392292,0.0,-0.033962585244859955,0.012319335255299518,0.011370755732059479,0
105,24,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.0,0.014857213837759828,-0.004732645617914977,-0.0005540773272514343,0
106,20,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.0,0.0,0.0,0.0,0.023026315789473673,0.018682235479354853,-0.03579826660532581,-0.025497615337371826,0
106,21,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.03125,0.0296486325898091,0.06120153323701749,-0.006578947368421018,-0.047947660940034026,-0.014374185803509687,-0.02182796597480774,1
106,22,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.03125,0.033753854779927095,0.06308964553325314,-0.00328947368421062,-0.02785269149712155,-0.014632351773098184,-0.01559382677078247,1
106,23,SoftWeight_noReject_LS010-vs-SASCert_SoftAR_LS010,0.02857142857142858,0.03125,0.027250635803267476,0.05941056107980047,0.006578947368421018,0.05317441821098326,0.006227026658194634,0.0026230812072753906,1
