acc,brier,ece,group,kappa,macro_f1,mean_confidence,n,nll,seed
0.3279320987654321,0.740502194202781,0.07034997858199074,ArtifactReject_raw_diagnostic,0.10390946502057613,0.25983361914462283,0.2873699996206496,9,1.3677165243360732,29
0.322145061728395,0.7395811817762911,0.08283366617045283,NaiveAug_LS010,0.09619341563786006,0.242694442476302,0.28932135303815204,9,1.3667894999186199,29
0.3236882716049383,0.7407384106416574,0.06822493243502614,NaiveAug_raw,0.09825102880658437,0.2610857228923666,0.2876359423001607,9,1.3681977325015597,29
0.30246913580246915,0.7405862014817652,0.053554639415700496,SASCert_SoftAR_LS010,0.06995884773662552,0.24395779429055148,0.289843436744478,9,1.3676055404875014,29
0.3213734567901234,0.7392744059085076,0.06367788832910636,ArtifactReject_raw_diagnostic,0.09516460905349795,0.2649599938814954,0.28573953443103367,9,1.3655528492397733,30
0.3256172839506173,0.7406945294423459,0.06809464256842562,NaiveAug_LS010,0.10082304526748971,0.25995529800221867,0.2850783103042179,9,1.3675622277789645,30
0.30362654320987653,0.7392447877595293,0.05848758926408158,NaiveAug_raw,0.07150205761316873,0.20947446540554526,0.29644614789221024,9,1.366152776612176,30
0.30362654320987653,0.7398609540840622,0.05952643046592487,SASCert_SoftAR_LS010,0.07150205761316872,0.24034253154855678,0.290597614314821,9,1.3665601412455242,30
0.3082561728395061,0.7396263311248119,0.0496081146699043,ArtifactReject_raw_diagnostic,0.07767489711934156,0.2511459797688199,0.28400271468692356,9,1.365927471054925,31
0.3171296296296296,0.7388064091044503,0.05833546272306531,NaiveAug_LS010,0.08950617283950618,0.25403076903190003,0.28322548667589825,9,1.3646839459737141,31
0.3233024691358024,0.7401056185784525,0.05745314960770401,NaiveAug_raw,0.09773662551440328,0.27143242423370395,0.28392359614372253,9,1.366475224494934,31
0.3190586419753087,0.7393899531904087,0.06447611761819799,SASCert_SoftAR_LS010,0.0920781893004115,0.25942904098357605,0.285647494925393,9,1.365861389372084,31
0.3279320987654321,0.7395849622794617,0.06624340263689742,ArtifactReject_raw_diagnostic,0.10390946502057613,0.2815228948781002,0.28684620724784005,9,1.366329034169515,32
0.30401234567901236,0.7400035734336639,0.04773436702879858,NaiveAug_LS010,0.07201646090534979,0.22450243016736174,0.28753342893388534,9,1.3663780689239502,32
0.3032407407407407,0.7399769141656037,0.049439127970900804,NaiveAug_raw,0.07098765432098766,0.23850344802455442,0.28987366292211747,9,1.3673025767008464,32
0.32870370370370366,0.7392594570477694,0.07825907992406025,SASCert_SoftAR_LS010,0.10493827160493827,0.2782713257505303,0.28499234716097516,9,1.3653485112720065,32
0.33101851851851855,0.744918307687014,0.07474344937751691,ArtifactReject_raw_diagnostic,0.1080246913580247,0.2715063808575751,0.28670382499694824,9,1.3757390313678317,33
0.2905092592592593,0.7465239092992351,0.05854751212223444,NaiveAug_LS010,0.054012345679012336,0.2152377392435461,0.29438019461101955,9,1.3792486588160198,33
0.31095679012345673,0.7462048141406452,0.06195047521894729,NaiveAug_raw,0.08127572016460904,0.2132743452129715,0.29633914099799263,9,1.3792257044050429,33
0.3364197530864198,0.7468282999610395,0.08672457956421523,SASCert_SoftAR_LS010,0.11522633744855966,0.2756454147266307,0.2889532910452949,9,1.3798662159177992,33
0.3368055555555556,0.7397377543354642,0.0780714983350517,ArtifactReject_raw_diagnostic,0.11574074074074073,0.2815975405381171,0.2852519585026635,9,1.366217917866177,34
0.3294753086419753,0.7401725773420116,0.07775027886676934,NaiveAug_LS010,0.10596707818930041,0.27069533123325756,0.2866589195198483,9,1.366906762123108,34
0.3167438271604939,0.7402192551936728,0.06272231831134839,NaiveAug_raw,0.08899176954732509,0.2586236503333279,0.28537888328234357,9,1.3665645122528076,34
0.330246913580247,0.7400972950781912,0.07569275522765555,SASCert_SoftAR_LS010,0.10699588477366256,0.2583320048633774,0.29009673330518937,9,1.366897185643514,34
