target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,sum_aug_weight_kept,sum_weight_per_candidate,CE_real,CE_aug_raw,CE_aug_weighted,final_train_loss,artifact_threshold,mean_v2_gamma,v2_prior_agreement_rate,v2_proto_agreement_rate,v2_both_agreement_rate,tf_supervised_ratio,tf_consistency_ratio,tf_quarantine_ratio,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier,class_0_accuracy,class_0_f1,class_1_accuracy,class_1_f1
93,23,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,34,0.6599999999999999,0.3400000035762787,1.0,34.0,0.34,nan,nan,nan,nan,6.02016787528992,0.7567569613456726,0.8799999952316284,0.8799999952316284,0.8799999952316284,0.13,0.21,0.66,0,0,0.7142857142857143,0.7140522875816994,0.7140522875816994,0.4281045751633986,0.7483660130718954,0.8619614733394312,0.24714321238654002,0.46571776270866394,0.7222222222222222,0.7222222222222222,0.7058823529411765,0.7058823529411765
93,24,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3043277859687805,0.33560580015182495,0.33560580015182495,0.6399335861206055,12.411620616912842,0.6665011048316956,0.75,0.8199999928474426,0.7300000190734863,0.09,0.17,0.74,0,0,0.5714285714285714,0.576797385620915,0.5584524810765349,0.1518578352180937,0.7026143790849673,1.2434145097417055,0.3596521803310939,0.6972774267196655,0.3888888888888889,0.4827586206896552,0.7647058823529411,0.6341463414634146
93,24,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,12.411620616912842,0.6665011048316956,0.75,0.8199999928474426,0.7300000190734863,0.09,0.17,0.74,0,0,0.6,0.6062091503267973,0.5833333333333333,0.20967741935483875,0.6503267973856209,1.1909203755121864,0.3701657337801797,0.6920550465583801,0.3888888888888889,0.5,0.8235294117647058,0.6666666666666666
93,24,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,26,0.74,0.25999999046325684,1.0,26.0,0.26,nan,nan,nan,nan,12.411620616912842,0.6665011048316956,0.75,0.8199999928474426,0.7300000190734863,0.09,0.17,0.74,0,0,0.6,0.6062091503267973,0.5833333333333333,0.20967741935483875,0.6895424836601307,1.220360962816591,0.34839648944990975,0.6959092020988464,0.3888888888888889,0.5,0.8235294117647058,0.6666666666666666
94,20,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.36257922649383545,0.5851171612739563,0.5851171612739563,0.9476963877677917,3.3342249870300327,0.6520295739173889,0.7400000095367432,0.7799999713897705,0.7400000095367432,0.12,0.27,0.61,0,0,0.7428571428571429,0.7418300653594772,0.7420147420147419,0.4844517184942716,0.8823529411764706,0.6968576003960608,0.21409199237823484,0.36562639474868774,0.7058823529411765,0.7272727272727272,0.7777777777777778,0.7567567567567567
94,20,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,3.3342249870300327,0.6520295739173889,0.7400000095367432,0.7799999713897705,0.7400000095367432,0.12,0.27,0.61,0,0,0.8,0.7973856209150327,0.7973531844499586,0.5977011494252873,0.8790849673202614,0.6005187036778363,0.19192217929022654,0.3223799169063568,0.7058823529411765,0.7741935483870968,0.8888888888888888,0.8205128205128205
94,20,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,39,0.61,0.38999998569488525,1.0,39.0,0.39,nan,nan,nan,nan,3.3342249870300327,0.6520295739173889,0.7400000095367432,0.7799999713897705,0.7400000095367432,0.12,0.27,0.61,0,0,0.7714285714285715,0.7696078431372549,0.7697368421052632,0.540983606557377,0.8823529411764706,0.8513063338897083,0.18541231666292463,0.3662477433681488,0.7058823529411765,0.7500000000000001,0.8333333333333334,0.7894736842105262
94,21,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2823025584220886,0.3297378420829773,0.3297378420829773,0.6120404005050659,5.557118511199955,0.6049076318740845,0.699999988079071,0.7200000286102295,0.6700000166893005,0.14,0.24,0.62,0,0,0.8285714285714286,0.8300653594771241,0.8284313725490196,0.6579804560260587,0.9117647058823529,0.3984582609771629,0.1266115401472364,0.2703513503074646,0.8823529411764706,0.8333333333333333,0.7777777777777778,0.823529411764706
94,21,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,5.557118511199955,0.6049076318740845,0.699999988079071,0.7200000286102295,0.6700000166893005,0.14,0.24,0.62,0,0,0.8285714285714286,0.8284313725490196,0.8284313725490196,0.6568627450980391,0.9084967320261438,0.3476274100325133,0.10154878411974227,0.22479882836341858,0.8235294117647058,0.8235294117647058,0.8333333333333334,0.8333333333333334
94,21,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,38,0.62,0.3799999952316284,1.0,38.0,0.38,nan,nan,nan,nan,5.557118511199955,0.6049076318740845,0.699999988079071,0.7200000286102295,0.6700000166893005,0.14,0.24,0.62,0,0,0.7428571428571429,0.7467320261437909,0.7394540942928041,0.48946515397082657,0.9215686274509803,0.5034277875898995,0.19901309439114165,0.34759220480918884,0.8823529411764706,0.7692307692307693,0.6111111111111112,0.7096774193548387
94,22,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2503848075866699,0.3315298855304718,0.3315298855304718,0.5819146633148193,13.3674822807312,0.7656310200691223,0.8999999761581421,0.9100000262260437,0.8999999761581421,0.08,0.21,0.71,0,0,0.8285714285714286,0.8251633986928104,0.8250000000000001,0.6546052631578947,0.8660130718954248,0.5484843992527413,0.13117104768753052,0.27978309988975525,0.7058823529411765,0.8000000000000002,0.9444444444444444,0.85
94,22,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,13.3674822807312,0.7656310200691223,0.8999999761581421,0.9100000262260437,0.8999999761581421,0.08,0.21,0.71,0,0,0.7714285714285715,0.772875816993464,0.7712418300653594,0.5439739413680782,0.8758169934640523,0.5193446183710656,0.1439857121024813,0.30312538146972656,0.8235294117647058,0.7777777777777778,0.7222222222222222,0.7647058823529411
94,22,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,29,0.71,0.28999999165534973,1.0,29.0,0.29,nan,nan,nan,nan,13.3674822807312,0.7656310200691223,0.8999999761581421,0.9100000262260437,0.8999999761581421,0.08,0.21,0.71,0,0,0.7714285714285715,0.772875816993464,0.7712418300653594,0.5439739413680782,0.8464052287581699,0.5510038701045985,0.1517575102193015,0.3409360647201538,0.8235294117647058,0.7777777777777778,0.7222222222222222,0.7647058823529411
94,23,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.2720642685890198,0.27210110425949097,0.27210110425949097,0.5441653728485107,5.237309360504152,0.8487812876701355,0.9900000095367432,1.0,0.9900000095367432,0.14,0.23,0.63,0,0,0.7142857142857143,0.7140522875816994,0.7140522875816994,0.4281045751633986,0.8235294117647058,0.642007175799527,0.17248710904802594,0.4041360020637512,0.7058823529411765,0.7058823529411765,0.7222222222222222,0.7222222222222222
94,23,RiskMixed_AugMixTF_LS010,10,100,100,0.0,1.0,1.0,100.0,0.0,nan,nan,nan,nan,5.237309360504152,0.8487812876701355,0.9900000095367432,1.0,0.9900000095367432,0.14,0.23,0.63,0,0,0.7142857142857143,0.7156862745098038,0.7140522875816994,0.4299674267100978,0.8333333333333333,0.6365294083642864,0.20200510535921368,0.40331509709358215,0.7647058823529411,0.7222222222222222,0.6666666666666666,0.7058823529411765
94,23,RiskMixed_SAS-Cert-TFConsistency_v0,10,100,37,0.63,0.3700000047683716,1.0,37.0,0.37,nan,nan,nan,nan,5.237309360504152,0.8487812876701355,0.9900000095367432,1.0,0.9900000095367432,0.14,0.23,0.63,0,0,0.7142857142857143,0.7140522875816994,0.7140522875816994,0.4281045751633986,0.826797385620915,0.7233119847908348,0.19720231890678405,0.40572434663772583,0.7058823529411765,0.7058823529411765,0.7222222222222222,0.7222222222222222
94,24,RiskMixed_NaiveTF-Aug_LS010,10,100,100,0.0,1.0,1.0,100.0,1.0,0.3356923758983612,0.36538317799568176,0.36538317799568176,0.701075553894043,1.9585508584976206,0.6652491688728333,0.7799999713897705,0.7799999713897705,0.7699999809265137,0.17,0.25,0.58,0,0,0.7428571428571429,0.7483660130718954,0.7350714886459209,0.4911147011308562,0.9248366013071895,0.8626070026341305,0.2289172615323748,0.4360527992248535,0.9411764705882353,0.7804878048780487,0.5555555555555556,0.6896551724137931
