target_subject,seed,group,n_support,n_aug_total,n_aug_kept,rejected_ratio,mean_aug_weight_all,mean_aug_weight_kept,artifact_threshold,fold_score_nan_inf_count,fold_covariance_nan_inf_count,accuracy,balanced_accuracy,macro_f1,kappa,auroc,nll,ece,brier
98,21,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,1.969250452518463,0,0,0.5428571428571428,0.5375816993464052,0.5238095238095237,0.07590759075907583,0.5784313725490196,1.15917740116073,0.30159292221069334,0.622503936290741
98,21,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,1.969250452518463,0,0,0.6,0.5980392156862745,0.5970394736842105,0.19672131147540972,0.6045751633986928,1.0647369605961392,0.3244215543781008,0.6228938698768616
98,21,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000834465027,0.6000000834465027,1.969250452518463,0,0,0.4857142857142857,0.488562091503268,0.48190789473684215,-0.022727272727272707,0.5849673202614379,1.1377576812705479,0.32999429958207266,0.6886365413665771
98,21,SAS-Cert-SoftAR-LS-v1.1,10,60,54,0.09999999999999998,0.5390960574150085,0.5989956259727478,1.969250452518463,0,0,0.5714285714285714,0.5686274509803921,0.56575682382134,0.13793103448275856,0.5915032679738561,1.074334417847267,0.3444169981139047,0.6361693739891052
98,22,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,2.807074499130249,0,0,0.6285714285714286,0.6323529411764706,0.6236559139784947,0.2625607779578607,0.6993464052287581,0.8638623948029179,0.24262254834175112,0.5312730669975281
98,22,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,2.807074499130249,0,0,0.6285714285714286,0.6323529411764706,0.6236559139784947,0.2625607779578607,0.6928104575163399,0.8793360072564894,0.22023500970431734,0.5300900936126709
98,22,SoftWeight_noReject_LS010,10,60,60,0.0,0.6000000834465027,0.6000000834465027,2.807074499130249,0,0,0.6571428571428571,0.6601307189542484,0.6546052631578948,0.31818181818181823,0.6797385620915033,0.8097021833526833,0.2351514663015093,0.5141687393188477
98,22,SAS-Cert-SoftAR-LS-v1.1,10,60,54,0.09999999999999998,0.5239548087120056,0.5821719765663147,2.807074499130249,0,0,0.6,0.6045751633986928,0.5916666666666667,0.20711974110032372,0.7058823529411764,0.8373360538263527,0.21532748000962396,0.517816960811615
98,23,NaiveAug_LS010,10,60,60,0.0,1.0,1.0,1.680171573162079,0,0,0.4,0.4035947712418301,0.39205955334987597,-0.19124797406807126,0.4477124183006536,1.1259938446950932,0.38552289519991195,0.8006042838096619
98,23,ArtifactReject_LS010,10,60,54,0.09999999999999998,1.0,1.0,1.680171573162079,0,0,0.37142857142857144,0.37254901960784315,0.3709150326797386,-0.2540716612377849,0.43137254901960786,1.1025400305053057,0.4261746253286089,0.7939234972000122
