acc,ece,group,kappa,macro_f1,n_train,nll,seed,shadow_diagnostic,target_subject
0.3854166666666667,0.11304634561141333,SASCertTop50,0.18055555555555558,0.2776317120032359,110,1.3597540855407715,21,0,4
0.3576388888888889,0.0897356749822696,SASCertSoftWeight,0.14351851851851852,0.2937811076237724,200,1.3584270477294922,21,1,4
0.3854166666666667,0.11801946742667092,ArtifactReject,0.18055555555555558,0.3835927513346868,182,1.3563421964645386,21,1,4
0.3506944444444444,0.07952786826839049,SoftWeightArtifactReject,0.13425925925925922,0.2949540107576105,182,1.3567500114440918,21,1,4
0.34375,0.07337581304212411,NoAug,0.125,0.29729651280777947,20,1.3636797666549683,22,0,4
0.2986111111111111,0.03710383192325632,NaiveAug,0.06481481481481481,0.2592405913978495,200,1.3602275848388672,22,0,4
0.3194444444444444,0.06413815884540479,Random50,0.09259259259259256,0.23756411819016823,110,1.3663771152496338,22,0,4
0.3611111111111111,0.07332903736581405,SASCertTop50,0.14814814814814814,0.3057211057211057,110,1.3729771375656128,22,0,4
0.375,0.09372901781979534,SASCertSoftWeight,0.16666666666666666,0.30848136645092994,200,1.3650016784667969,22,1,4
0.3993055555555556,0.13068593396908706,ArtifactReject,0.1990740740740741,0.3582842112006017,182,1.3613790273666382,22,1,4
0.3923611111111111,0.1133480892620153,SoftWeightArtifactReject,0.1898148148148148,0.3289843653442096,182,1.36418879032135,22,1,4
0.2465277777777778,0.03976740838131971,NoAug,-0.004629629629629613,0.13614718614718616,20,1.3876557350158691,20,0,5
0.23958333333333334,0.03590859928064876,NaiveAug,-0.013888888888888876,0.17791762444888268,200,1.3863694667816162,20,0,5
0.2465277777777778,0.05960362580501371,Random50,-0.004629629629629613,0.10488853075476766,110,1.3952077627182007,20,0,5
0.23958333333333334,0.04794327557707826,SASCertTop50,-0.013888888888888876,0.15699693564862105,110,1.3898838758468628,20,0,5
0.2534722222222222,0.0471114012826648,SASCertSoftWeight,0.004629629629629613,0.15188401685098718,200,1.3895089626312256,20,1,5
0.22916666666666666,0.04495182121172547,ArtifactReject,-0.02777777777777779,0.14883578431372552,182,1.3853020668029785,20,1,5
0.24305555555555555,0.05159225402813818,SoftWeightArtifactReject,-0.009259259259259264,0.10367660508505579,182,1.3898004293441772,20,1,5
0.2916666666666667,0.02128694372044669,NoAug,0.05555555555555558,0.2471191391977724,20,1.3889679908752441,21,0,5
0.2847222222222222,0.00921840738091204,NaiveAug,0.04629629629629628,0.18384988403963737,200,1.3884283304214478,21,0,5
0.2638888888888889,0.020433927265306313,Random50,0.018518518518518528,0.15066500575918385,110,1.3909645080566406,21,0,5
0.2673611111111111,0.0119097416754812,SASCertTop50,0.02314814814814814,0.17839972527472525,110,1.3909543752670288,21,0,5
0.2604166666666667,0.01619474682956934,SASCertSoftWeight,0.013888888888888914,0.14515151515151514,200,1.3880680799484253,21,1,5
0.2881944444444444,0.021005335367388193,ArtifactReject,0.050925925925925895,0.23306027133924112,182,1.3862162828445435,21,1,5
0.28125,0.015059481892320845,SoftWeightArtifactReject,0.041666666666666664,0.21611782000257052,182,1.3869707584381104,21,1,5
0.2743055555555556,0.008763613800207773,NoAug,0.03240740740740744,0.23192939629208012,20,1.3861819505691528,22,0,5
0.2569444444444444,0.016051902797900967,NaiveAug,0.009259259259259226,0.19803298137525965,200,1.38729989528656,22,0,5
0.2847222222222222,0.008734372754891712,Random50,0.04629629629629628,0.1873015873015873,110,1.38597571849823,22,0,5
0.2986111111111111,0.02600002537171046,SASCertTop50,0.06481481481481481,0.254851093286329,110,1.39085853099823,22,0,5
0.2465277777777778,0.02589689117545883,SASCertSoftWeight,-0.004629629629629613,0.17013038935077918,200,1.387635350227356,22,1,5
0.2534722222222222,0.01463298685848713,ArtifactReject,0.004629629629629613,0.19147341582416139,182,1.3861868381500244,22,1,5
0.2673611111111111,0.012174393774734603,SoftWeightArtifactReject,0.02314814814814814,0.18964451163609652,182,1.387890338897705,22,1,5
0.2569444444444444,0.08449761253885096,NoAug,0.009259259259259226,0.12965285782086922,20,1.376678705215454,20,0,6
0.3020833333333333,0.028158397051609226,NaiveAug,0.06944444444444442,0.2035479976586508,200,1.3702735900878906,20,0,6
0.3090277777777778,0.04308096236652798,Random50,0.07870370370370372,0.20649127245130278,110,1.390308141708374,20,0,6
0.3229166666666667,0.07882951308662693,SASCertTop50,0.09722222222222225,0.29439274839992546,110,1.368040919303894,20,0,6
0.3159722222222222,0.04287462865209414,SASCertSoftWeight,0.08796296296296295,0.2121992121992122,200,1.3674290180206299,20,1,6
0.2916666666666667,0.06445917663060956,ArtifactReject,0.05555555555555558,0.18496113129419117,182,1.369156002998352,20,1,6
0.3125,0.04592713760212064,SoftWeightArtifactReject,0.08333333333333333,0.21679093422218698,182,1.3668864965438843,20,1,6
0.2847222222222222,0.02540013561439183,NoAug,0.04629629629629628,0.2127304498047532,20,1.385516881942749,21,0,6
0.2534722222222222,0.023332967836823728,NaiveAug,0.004629629629629613,0.17819718980709692,200,1.3873857259750366,21,0,6
0.2465277777777778,0.049996687875439726,Random50,-0.004629629629629613,0.11829268292682926,110,1.3953384160995483,21,0,6
0.2604166666666667,0.029340282858659823,SASCertTop50,0.013888888888888914,0.16625198700670402,110,1.389153003692627,21,0,6
0.2604166666666667,0.02829978739221891,SASCertSoftWeight,0.013888888888888914,0.1679099175902245,200,1.3929568529129028,21,1,6
0.2361111111111111,0.04008283815346658,ArtifactReject,-0.018518518518518528,0.2274641121462312,182,1.389171838760376,21,1,6
0.2604166666666667,0.04847242931524912,SoftWeightArtifactReject,0.013888888888888914,0.17277948182470798,182,1.3932286500930786,21,1,6
0.2986111111111111,0.054026521949304476,NoAug,0.06481481481481481,0.28035738798258353,20,1.3743042945861816,22,0,6
0.2847222222222222,0.012679125078850322,NaiveAug,0.04629629629629628,0.23732603665685342,200,1.3766062259674072,22,0,6
0.2743055555555556,0.020035317892001733,Random50,0.03240740740740744,0.22307579748317236,110,1.3768465518951416,22,0,6
0.2638888888888889,0.037288776340170034,SASCertTop50,0.018518518518518528,0.21710625528363509,110,1.3838735818862915,22,0,6
0.2951388888888889,0.02643429881168736,SASCertSoftWeight,0.060185185185185196,0.22965844778658617,200,1.3815746307373047,22,1,6
0.2847222222222222,0.029417715397559937,ArtifactReject,0.04629629629629628,0.2756386347467559,182,1.3753803968429565,22,1,6
0.2951388888888889,0.026068607655664284,SoftWeightArtifactReject,0.060185185185185196,0.2657097936687394,182,1.3774819374084473,22,1,6
0.2847222222222222,0.060916598058409155,NoAug,0.04629629629629628,0.1624211625758245,20,1.375634789466858,20,0,7
0.28125,0.0315459958381123,NaiveAug,0.041666666666666664,0.1696054852266754,200,1.3733458518981934,20,0,7
0.2673611111111111,0.10320054962196284,Random50,0.02314814814814814,0.13342830009496676,110,1.3770703077316284,20,0,7
0.2708333333333333,0.0717212475525836,SASCertTop50,0.027777777777777752,0.14678362573099416,110,1.3718514442443848,20,0,7
0.3576388888888889,0.08175731067442231,SASCertSoftWeight,0.14351851851851852,0.2887886245556467,200,1.3692024946212769,20,1,7
0.3125,0.0490408790194326,ArtifactReject,0.08333333333333333,0.24407046056717085,182,1.370527744293213,20,1,7
